Section,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
RSPagl,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,5,8,4,6,8,7,13,20,22,38,49,78,93,62,84,111,107,143,164,76,96,66,44,47,69,37,35,37,17,13,7,3,0,0,8,14,18,7,11,35,axon,axon,0,,,,,,,,,,,,,,,,,,,,,,,
RSPd,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,12,5,20,4,15,18,16,16,38,36,48,64,81,99,82,80,69,94,116,83,123,91,47,80,56,28,8,70,81,63,40,4,3,29,13,21,33,25,23,2,axon,0,0,,,,,,,,,,,,,,,,,,,,,,,
RSPv,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,0,4,3,0,1,2,1,4,8,8,12,20,21,51,57,67,69,100,70,28,50,22,0,58,7,23,0,0,21,4,11,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2,2,5,7,29,22,51,55,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,25,177,153,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,6,28,31,67,170,180,203,173,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,185,340,429,363,345,270,295,219,144,81,50,55,64,78,118,135,71,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
VISli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,70,56,88,84,148,44,162,71,57,76,83,72,103,128,97,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307,484,693,1107,1189,1657,1828,1496,1800,1787,1204,1531,1545,701,707,673,291,406,302,203,315,565,446,253,133,axon,1,0,,,,,,,,,,,,,,,,,,,,,,,
VISpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,73,241,222,80,73,74,26,28,26,14,29,8,3,8,9,3,0,5,6,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
