Section,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
RSPagl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,7,10,22,15,26,61,40,21,23,36,40,45,16,30,39,28,51,55,12,63,19,15,41,27,18,12,6,59,,,,,0,1,3,3,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,
RSPd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,3,6,26,13,16,40,51,45,50,50,99,47,32,42,67,73,50,54,65,60,54,33,58,0,37,18,28,12,,,,,2,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
RSPv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,5,3,6,2,7,3,4,8,12,6,30,20,8,15,22,98,103,44,146,111,38,43,64,12,13,12,48,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4,85,95,16,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,7,6,7,60,64,29,32,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,129,128,90,118,5,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,2,3,28,11,10,24,11,30,87,31,16,34,84,8,6,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
VISli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,52,34,37,55,31,23,24,0,0,0,61,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,24,116,36,47,43,108,199,188,195,141,143,98,75,162,50,116,226,12,67,108,214,87,208,201,75,15,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,
VISpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,40,113,108,100,136,42,37,57,50,0,11,28,8,,24,26,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
