age,identifier,region,human_verified_vsv
adult,M608,VISl,148.99
adult,M608,VISli,40.30
adult,M608,VISpl,0
adult,M608,VISpor,21.57565789
adult,M609,RSPv,0.00
adult,M609,RSPd,0.45
adult,M609,RSPagl,2.18
adult,M609,VISpm,58.23
adult,M609,VISam,49.79
adult,M609,VISa,26.98
adult,M609,VISrl,10.44
adult,M609,VISal,48.93
adult,M609,VISl,204.41
adult,M609,VISli,1.87
adult,M609,VISpl,0
adult,M609,VISpor,0
adult,M610,RSPv,20.40
adult,M610,RSPd,46.68
adult,M610,RSPagl,40.80
adult,M610,VISpm,0.00
adult,M610,VISam,117.65
adult,M610,VISa,427.25
adult,M610,VISrl,0.00
adult,M610,VISal,280.99
adult,M610,VISl,612.92
adult,M610,VISli,91.13
adult,M610,VISpl,0
adult,M610,VISpor,7.438875306
