age,normalization,n_regions,r,r_squared,p_value,correlation_method
p3,combined,8,0.9990395375940813,0.9980799976761957,2.2134424006365325e-09,Pearson
p12,combined,8,-0.4732977058516812,0.2240107183644645,0.2361900784743241,Pearson
p20,combined,7,1.0,1.0,0.0,Pearson
