age,normalization,n_regions,r,r_squared,p_value,correlation_method
p3,log,8,0.16423803325940955,0.02697413156891892,0.6975465979560004,Pearson
p12,log,8,0.43859262042449804,0.1923634866908278,0.2770142608644255,Pearson
p20,log,8,0.8422496995004133,0.7093845563085365,0.008689603204582315,Pearson
adult,log,8,-0.08485335259282557,0.007200091446242379,0.8416620041701116,Pearson
