age,normalization,n_regions,r,r_squared,p_value,correlation_method
p3,robust,8,0.6151246852292456,0.37837837837837845,0.10455324537893879,Spearman
p12,robust,8,-0.4845561780836657,0.23479468971904913,0.2236538588082842,Spearman
p20,robust,8,-0.3899448192056364,0.15205696202531646,0.3395897301354488,Spearman
