age,normalization,n_regions,r,r_squared,p_value,correlation_method
p3,log,8,0.35399231018681954,0.12531055567140145,0.38962864192812297,Pearson
p12,log,8,0.811008451048069,0.6577347076713881,0.014574270999059743,Pearson
p20,log,8,0.8031151216363471,0.6449938986009647,0.01637347083899084,Pearson
adult,log,8,-0.527849896258031,0.27862551297961413,0.17875520355401012,Pearson
