region,identifier,value,Q1,Q3,IQR,method,modality
VISa,M763,19.661507465136943,21.886581484008797,22.871063375917092,0.9844818919082954,IQR,H2B
VISam,M776,26.89179568357092,19.900715487439967,22.24122291583826,2.3405074283982934,IQR,H2B
VISl,M776,23.554252843552717,19.076528761893364,20.57017808013756,1.493649318244195,IQR,H2B
VISli,M776,26.791720441156322,18.902138054830182,21.530239670813366,2.6281016159831836,IQR,H2B
