age,identifier,region,image_filename,raw_intensity_sum,total_image_pixels,tissue_area_pixels
adult,M608,VISp,M608_s050_VISp.tif,32691424,11612580,6048720
adult,M608,VISp,M608_s051_VISp.tif,59989643,14829000,9190020
adult,M608,VISp,M608_s052_VISp.tif,58306911,16940420,7845300
adult,M608,VISp,M608_s053_VISp.tif,107212759,11973780,6043120
adult,M608,VISp,M608_s054_VISp.tif,90036230,11061640,5507240
adult,M608,VISp,M608_s055_VISp.tif,26606507,17000240,8590120
adult,M608,VISp,M608_s056_VISp.tif,132601067,14403000,7845480
adult,M608,VISp,M608_s057_VISp.tif,114828208,9765460,4728220
adult,M608,VISp,M608_s058_VISp.tif,408529333,8802000,4661700
adult,M608,VISp,M608_s059_VISp.tif,316753094,8834000,4910880
adult,M608,VISp,M608_s060_VISp.tif,110515726,10932360,5356720
adult,M608,VISp,M608_s061_VISp.tif,95461782,9355000,4117840
adult,M608,VISp,M608_s062_VISp.tif,225700594,11363940,5049480
adult,M608,VISp,M608_s063_VISp.tif,64335647,10965480,5354420
adult,M608,VISp,M608_s064_VISp.tif,338039356,14588640,5305560
adult,M608,VISp,M608_s065_VISp.tif,153149299,11549460,4350540
adult,M608,VISp,M608_s066_VISp.tif,93303723,16031720,6128520
adult,M608,VISp,M608_s067_VISp.tif,125751251,7626800,5067820
adult,M608,VISp,M608_s068_VISp.tif,177653966,11928060,4734960
adult,M608,VISp,M608_s069_VISp.tif,303637013,12641120,5052440
adult,M608,VISp,M608_s070_VISp.tif,190268485,12648243,5164281
adult,M608,VISp,M608_s071_VISp.tif,103376392,9733862,3937681
adult,M608,VISp,M608_s072_VISp.tif,417290204,9949084,4559801
adult,M608,VISpl,M608_s064_VISpl.tif,4485204,213180,110560
adult,M608,VISpl,M608_s065_VISpl.tif,3056557,201240,108760
adult,M608,VISpl,M608_s066_VISpl.tif,1617918,279600,135520
adult,M608,VISpl,M608_s067_VISpl.tif,2648385,280280,129620
adult,M608,VISpl,M608_s068_VISpl.tif,6021577,429200,200400
adult,M608,VISpl,M608_s069_VISpl.tif,21341414,1383480,366200
adult,M608,VISpl,M608_s070_VISpl.tif,15792389,1445660,560980
adult,M608,VISpl,M608_s071_VISpl.tif,21146755,2613920,1125460
adult,M608,VISpl,M608_s072_VISpl.tif,94576554,2163741,1044401
adult,M608,VISpm,M608_s025_VISpm.tif,17669851,842400,504000
adult,M608,VISpm,M608_s032_VISpm.tif,403070,48000,26400
adult,M608,VISpm,M608_s033_VISpm.tif,2515150,520000,194400
adult,M608,VISpm,M608_s034_VISpm.tif,21941580,954800,578400
adult,M608,VISpm,M608_s035_VISpm.tif,15350792,1141140,811740
adult,M608,VISpm,M608_s036_VISpm.tif,3374799,1522800,1036000
adult,M608,VISpm,M608_s037_VISpm.tif,6781181,2046240,1728220
adult,M608,VISpm,M608_s038_VISpm.tif,3938355,1681500,1219680
adult,M608,VISpm,M608_s039_VISpm.tif,5506274,1598400,1174400
adult,M608,VISpm,M608_s040_VISpm.tif,3137172,1332800,1006000
adult,M608,VISpm,M608_s041_VISpm.tif,3236804,1305600,940000
adult,M608,VISpm,M608_s042_VISpm.tif,4103021,1332480,990400
adult,M608,VISpm,M608_s043_VISpm.tif,3449386,1394940,898480
adult,M608,VISpm,M608_s044_VISpm.tif,2814515,1289600,876800
adult,M608,VISpm,M608_s045_VISpm.tif,5985767,1215200,783200
adult,M608,VISpm,M608_s046_VISpm.tif,3260807,1296820,692840
adult,M608,VISpm,M608_s047_VISpm.tif,1325846,1125600,654800
adult,M608,VISpm,M608_s048_VISpm.tif,1870757,1066000,590000
adult,M608,VISpm,M608_s049_VISpm.tif,1890860,686000,372000
adult,M608,VISpm,M608_s050_VISpm.tif,1922483,686400,407200
adult,M608,VISpm,M608_s051_VISpm.tif,1719175,963200,569600
adult,M608,VISpm,M608_s052_VISpm.tif,2274785,370000,221200
adult,M608,VISpm,M608_s053_VISpm.tif,5240914,470400,256800
adult,M608,VISpm,M608_s054_VISpm.tif,3765674,319200,187200
adult,M608,VISpm,M608_s055_VISpm.tif,784707,377200,222000
adult,M608,VISpm,M608_s056_VISpm.tif,4506292,459200,258000
adult,M608,VISpm,M608_s057_VISpm.tif,4107764,269440,150120
adult,M608,VISpm,M608_s058_VISpm.tif,6726403,224000,135200
adult,M608,VISpm,M608_s059_VISpm.tif,14250263,367200,176000
adult,M608,VISpm,M608_s060_VISpm.tif,4625083,328000,188400
adult,M608,VISpm,M608_s061_VISpm.tif,3472974,197200,109200
adult,M608,VISpm,M608_s062_VISpm.tif,12736507,384000,188400
adult,M608,VISpm,M608_s063_VISpm.tif,2247093,368000,220800
adult,M608,VISpm,M608_s064_VISpm.tif,2282616,57600,28000
adult,M608,VISpm,M608_s065_VISpm.tif,725731,42000,23200
adult,M608,VISpm,M608_s066_VISpm.tif,707739,56000,34800
adult,M608,VISpm,M608_s067_VISpm.tif,486777,76480,22700
adult,M608,VISpm,M608_s068_VISpm.tif,585315,33600,19600
adult,M608,VISpm,M608_s069_VISpm.tif,76231,1200,1200
adult,M608,VISpor,M608_s049_VISpor.tif,173673,212800,76000
adult,M608,VISpor,M608_s050_VISpor.tif,754031,719200,330800
adult,M608,VISpor,M608_s051_VISpor.tif,2789371,1992800,937200
adult,M608,VISpor,M608_s052_VISpor.tif,9912550,3120000,1439200
adult,M608,VISpor,M608_s053_VISpor.tif,15434746,2642200,1284660
adult,M608,VISpor,M608_s054_VISpor.tif,19080662,3973920,1808460
adult,M608,VISpor,M608_s055_VISpor.tif,3301006,3732120,1650820
adult,M608,VISpor,M608_s056_VISpor.tif,25181667,4253620,2036540
adult,M608,VISpor,M608_s057_VISpor.tif,19892244,3942400,1828800
adult,M608,VISpor,M608_s058_VISpor.tif,260830908,6363000,2986340
adult,M608,VISpor,M608_s059_VISpor.tif,183840468,6198560,2775880
adult,M608,VISpor,M608_s060_VISpor.tif,46374793,4350000,2140000
adult,M608,VISpor,M608_s061_VISpor.tif,70567611,5684280,2805960
adult,M608,VISpor,M608_s062_VISpor.tif,73258456,3791020,2416160
adult,M608,VISpor,M608_s063_VISpor.tif,10676849,3302400,1512800
adult,M608,VISpor,M608_s064_VISpor.tif,150495576,4982120,2925480
adult,M608,VISpor,M608_s065_VISpor.tif,77824582,5792360,2514260
adult,M608,VISpor,M608_s066_VISpor.tif,40460663,4018920,2459640
adult,M608,VISpor,M608_s067_VISpor.tif,37598467,2339160,1634900
adult,M608,VISpor,M608_s068_VISpor.tif,91011930,4942280,2990380
adult,M608,VISpor,M608_s069_VISpor.tif,140625166,3773580,2539600
adult,M608,VISpor,M608_s070_VISpor.tif,82122908,3975092,2326961
