age,identifier,region,image_filename,raw_intensity_sum,masked_gauss_intensity_sum,total_image_pixels,tissue_area_pixels
adult,M608,VISp,M608_s034_VISp.tif,54860836,4635512.364689766,2134520,1593200
adult,M608,VISp,M608_s035_VISp.tif,71103522,6533605.703153902,2217600,1701200
adult,M608,VISp,M608_s036_VISp.tif,86591374,8462070.063398566,6892200,3955100
adult,M608,VISp,M608_s037_VISp.tif,100687622,9813566.885611642,5152140,3719440
adult,M608,VISp,M608_s038_VISp.tif,75598919,8651465.946591359,6021180,3992720
adult,M608,VISp,M608_s039_VISp.tif,79552904,8363875.782130702,5781280,3788360
adult,M608,VISp,M608_s040_VISp.tif,66085304,8657512.464331282,6566400,4272400
adult,M608,VISp,M608_s041_VISp.tif,51922103,7036582.538999584,7290360,4600600
adult,M608,VISp,M608_s042_VISp.tif,62125002,7868141.983617363,5731200,4302340
adult,M608,VISp,M608_s043_VISp.tif,49115640,6897359.176815378,7914520,4487240
adult,M608,VISp,M608_s044_VISp.tif,44576679,6361729.667293206,7763880,4675260
adult,M608,VISp,M608_s045_VISp.tif,75587010,7425259.242781243,8411520,5194240
adult,M608,VISp,M608_s046_VISp.tif,51417714,6650803.864277852,9307080,5642240
adult,M608,VISp,M608_s047_VISp.tif,47430420,6993083.349725665,11512160,6755680
adult,M608,VISp,M608_s048_VISp.tif,43889706,5292281.82612359,10394280,6611000
adult,M608,VISp,M608_s049_VISp.tif,34929727,3029039.28065436,8449920,4990540
adult,M608,VISp,M608_s050_VISp.tif,32691424,2843935.926137827,11612580,6048720
adult,M608,VISp,M608_s051_VISp.tif,59989643,5631516.423263264,14829000,9190020
adult,M608,VISp,M608_s052_VISp.tif,58306911,3028400.9641717724,16940420,7845300
adult,M608,VISp,M608_s053_VISp.tif,107212759,3586463.035233021,11973780,6043120
adult,M608,VISp,M608_s054_VISp.tif,90036230,2430377.0910581863,11061640,5507240
adult,M608,VISp,M608_s055_VISp.tif,26606507,1847486.470955487,17000240,8590120
adult,M608,VISp,M608_s056_VISp.tif,132601067,4807805.623594452,14403000,7845480
