age,identifier,region,image_count,raw_intensity_sum,total_image_pixels,tissue_area_pixels
p3,M487,VISpm,4,50585200,7892360,5577720
p3,M487,VISrl,2,6640672,1934000,646800
p3,M488,RSPagl,12,54590905,16162940,7246160
p3,M488,RSPd,9,79698488,22678120,12160520
p3,M488,RSPv,1,26215443,2468100,1464100
p3,M488,VISa,1,6500010,3170860,1400320
p3,M488,VISal,1,3384940,2488500,1180860
p3,M488,VISam,2,25901002,4392800,3547200
p3,M488,VISl,1,6755737,1996800,1033200
p3,M488,VISli,1,1689010,1479720,652020
p3,M488,VISp,10,288021009,69347540,37279940
p3,M488,VISpm,5,42678890,9635860,7086120
p3,M488,VISrl,1,16281501,2032800,1098000
p3,M496,RSPagl,10,103396469,22468740,7027460
p3,M496,RSPd,12,306210910,30170840,15686399
p3,M496,RSPv,4,141969025,22069200,9318200
p3,M496,VISal,1,23373605,2650520,1282560
p3,M496,VISam,5,121379468,11600100,7849820
p3,M496,VISl,2,14784052,4542400,2295600
p3,M496,VISp,20,2562300939,229298207,95704923
p3,M496,VISpm,6,119570222,13340800,7694800
p3,M496,VISpor,1,14341704,3793200,2384000
p3,M496,VISrl,1,3161495,1268800,368000
p3,M729,RSPagl,11,56346845,15690500,8999660
p3,M729,RSPd,4,20953442,9849960,4789780
p3,M729,RSPv,5,43414466,16967780,9381200
p3,M729,VISa,4,79117379,13564000,7773720
p3,M729,VISal,1,839963,1408000,613528
p3,M729,VISam,6,43522748,12052160,7282400
p3,M729,VISl,4,12249138,5399540,2488100
p3,M729,VISli,1,765619,695600,273200
p3,M729,VISp,22,396386619,141210647,62483107
p3,M729,VISpm,7,9149380,8069720,4651934
p3,M729,VISpor,1,3267234,1771200,836000
p3,M730,RSPagl,15,106570444,15587020,9189240
p3,M730,RSPd,14,124903766,34547280,16897780
p3,M730,RSPv,2,40246752,6370260,3754040
p3,M730,VISa,4,49266741,9387860,5516640
p3,M730,VISal,3,15240731,3501420,1883840
p3,M730,VISam,4,19501794,4365920,3264740
p3,M730,VISl,3,13913411,4878320,2648780
p3,M730,VISli,1,3615708,919240,435820
p3,M730,VISp,26,568141194,194102179,82920016
p3,M730,VISpm,14,64073686,17278600,11131480
p3,M730,VISrl,2,8529851,3066820,1788480
p6,M733,RSPagl,41,385440972,60587103,27597000
p6,M733,RSPd,41,669617789,101319541,48410021
p6,M733,RSPv,37,809690317,104093460,59091240
p6,M733,VISa,11,144276666,19963840,11114100
p6,M733,VISal,9,84008362,16003300,7860300
p6,M733,VISam,7,72932559,11110160,6158260
p6,M733,VISl,17,157624607,29730272,14841177
p6,M733,VISli,17,72162395,17736017,7200038
p6,M733,VISp,29,972545256,161052174,79761339
p6,M733,VISpl,2,9902896,2063980,619500
p6,M733,VISpm,23,179263525,23736860,16397720
p6,M733,VISpor,7,106445478,10351741,5724441
p6,M733,VISrl,13,128843929,22942120,11338080
p6,M734,RSPagl,43,296279305,64921700,30112900
p6,M734,RSPd,44,566947297,128099520,56423720
p6,M734,RSPv,41,645519817,146143460,75129900
p6,M734,VISa,15,166889634,98623480,18367480
p6,M734,VISal,7,74075970,17765860,9362300
p6,M734,VISam,11,113409294,13643480,8694260
p6,M734,VISl,10,69051271,18298120,7653780
p6,M734,VISli,9,37383692,11463000,4434260
p6,M734,VISp,26,1941054710,266863747,104990942
p6,M734,VISpl,1,28921,6000,2800
p6,M734,VISpm,23,162117051,27916740,18440800
p6,M734,VISpor,9,46889732,9186291,4484000
p6,M734,VISrl,9,45125539,11688960,5011080
