age,identifier,region,image_filename,raw_intensity_sum,masked_mean_intensity_sum,total_image_pixels,tissue_area_pixels
adult,M608,VISp,M608_s033_VISp.tif,19840587,2451429.8694134527,2463920,1287220
adult,M608,VISp,M608_s034_VISp.tif,54860836,4176393.790392019,2134520,1593200
adult,M608,VISp,M608_s035_VISp.tif,71103522,5968539.886407654,2217600,1701200
adult,M608,VISp,M608_s036_VISp.tif,86591374,7375879.96194854,6892200,3955100
adult,M608,VISp,M608_s037_VISp.tif,100687622,9044615.703601066,5152140,3719440
adult,M608,VISp,M608_s038_VISp.tif,75598919,7694912.988933823,6021180,3992720
adult,M608,VISp,M608_s039_VISp.tif,79552904,7409984.034354901,5781280,3788360
adult,M608,VISp,M608_s040_VISp.tif,66085304,7622680.516175948,6566400,4272400
adult,M608,VISp,M608_s041_VISp.tif,51922103,6452944.704898187,7290360,4600600
adult,M608,VISp,M608_s042_VISp.tif,62125002,7032462.49477741,5731200,4302340
adult,M608,VISp,M608_s043_VISp.tif,49115640,6394263.366269031,7914520,4487240
adult,M608,VISp,M608_s044_VISp.tif,44576679,5834365.92642382,7763880,4675260
adult,M608,VISp,M608_s045_VISp.tif,75587010,6817639.684326684,8411520,5194240
adult,M608,VISp,M608_s046_VISp.tif,51417714,5995755.248735822,9307080,5642240
adult,M608,VISp,M608_s047_VISp.tif,47430420,6382461.965093231,11512160,6755680
adult,M608,VISp,M608_s048_VISp.tif,43889706,4896805.503127911,10394280,6611000
adult,M608,VISp,M608_s049_VISp.tif,34929727,2834514.6540309815,8449920,4990540
adult,M608,VISp,M608_s050_VISp.tif,32691424,2605297.649300537,11612580,6048720
adult,M608,VISp,M608_s051_VISp.tif,59989643,5183995.1122185625,14829000,9190020
adult,M608,VISp,M608_s052_VISp.tif,58306911,2821137.883522064,16940420,7845300
adult,M608,VISp,M608_s053_VISp.tif,107212759,3040639.9900745978,11973780,6043120
adult,M608,VISp,M608_s054_VISp.tif,90036230,2288270.1679543583,11061640,5507240
adult,M608,VISp,M608_s055_VISp.tif,26606507,1690433.8491710385,17000240,8590120
adult,M608,VISp,M608_s056_VISp.tif,132601067,4410019.173655276,14403000,7845480
adult,M608,VISp,M608_s057_VISp.tif,114828208,2404362.85479376,9765460,4728220
adult,M608,VISp,M608_s058_VISp.tif,408529333,10077166.03195203,8802000,4661700
adult,M608,VISp,M608_s059_VISp.tif,316753094,6994016.476661474,8834000,4910880
adult,M608,VISp,M608_s060_VISp.tif,110515726,2476612.3874500976,10932360,5356720
adult,M608,VISp,M608_s061_VISp.tif,95461782,2220861.072777157,9355000,4117840
adult,M608,VISp,M608_s062_VISp.tif,225700594,5906041.446471894,11363940,5049480
adult,M608,VISp,M608_s063_VISp.tif,64335647,1731442.8142756596,10965480,5354420
adult,M608,VISp,M608_s064_VISp.tif,338039356,8115107.259709434,14588640,5305560
adult,M608,VISp,M608_s065_VISp.tif,153149299,4061974.040982685,11549460,4350540
adult,M608,VISp,M608_s066_VISp.tif,93303723,2295477.7131120064,16031720,6128520
adult,M608,VISp,M608_s067_VISp.tif,125751251,3125810.980408423,7626800,5067820
adult,M608,VISp,M608_s068_VISp.tif,177653966,4937602.294297183,11928060,4734960
adult,M608,VISp,M608_s069_VISp.tif,303637013,6586408.633650504,12641120,5052440
adult,M608,VISp,M608_s070_VISp.tif,190268485,3867681.9020284098,12648243,5164281
adult,M608,VISp,M608_s071_VISp.tif,103376392,2226553.263541523,9733862,3937681
adult,M608,VISp,M608_s072_VISp.tif,417290204,10712876.77404092,9949084,4559801
adult,M608,VISpl,M608_s064_VISpl.tif,4485204,90566.76379319777,213180,110560
adult,M608,VISpl,M608_s065_VISpl.tif,3056557,64338.41141584441,201240,108760
adult,M608,VISpl,M608_s066_VISpl.tif,1617918,36126.38237042504,279600,135520
adult,M608,VISpl,M608_s067_VISpl.tif,2648385,64125.33464747779,280280,129620
