age,identifier,region,image_filename,raw_intensity_sum,masked_median_intensity_sum,total_image_pixels,tissue_area_pixels
adult,M608,VISp,M608_s039_VISp.tif,79552904,9088930.0,5781280,3788360
adult,M608,VISp,M608_s040_VISp.tif,66085304,9424774.0,6566400,4272400
adult,M608,VISp,M608_s041_VISp.tif,51922103,8212889.0,7290360,4600600
adult,M608,VISp,M608_s042_VISp.tif,62125002,8727168.0,5731200,4302340
adult,M608,VISp,M608_s043_VISp.tif,49115640,8377391.0,7914520,4487240
adult,M608,VISp,M608_s044_VISp.tif,44576679,7458427.0,7763880,4675260
adult,M608,VISp,M608_s045_VISp.tif,75587010,8810003.0,8411520,5194240
adult,M608,VISp,M608_s046_VISp.tif,51417714,7540341.0,9307080,5642240
adult,M608,VISp,M608_s047_VISp.tif,47430420,8017705.0,11512160,6755680
adult,M608,VISp,M608_s048_VISp.tif,43889706,6253255.0,10394280,6611000
adult,M608,VISp,M608_s049_VISp.tif,34929727,3464101.0,8449920,4990540
adult,M608,VISp,M608_s050_VISp.tif,32691424,3137175.0,11612580,6048720
adult,M608,VISp,M608_s051_VISp.tif,59989643,6503727.0,14829000,9190020
adult,M608,VISp,M608_s052_VISp.tif,58306911,3058244.0,16940420,7845300
adult,M608,VISp,M608_s053_VISp.tif,107212759,2772260.0,11973780,6043120
adult,M608,VISp,M608_s054_VISp.tif,90036230,2304312.0,11061640,5507240
adult,M608,VISp,M608_s055_VISp.tif,26606507,1864986.0,17000240,8590120
adult,M608,VISp,M608_s056_VISp.tif,132601067,4420534.0,14403000,7845480
adult,M608,VISp,M608_s057_VISp.tif,114828208,2277051.0,9765460,4728220
adult,M608,VISp,M608_s058_VISp.tif,408529333,9170478.0,8802000,4661700
adult,M608,VISp,M608_s059_VISp.tif,316753094,7259219.0,8834000,4910880
adult,M608,VISp,M608_s060_VISp.tif,110515726,2405656.0,10932360,5356720
adult,M608,VISp,M608_s061_VISp.tif,95461782,2198420.0,9355000,4117840
adult,M608,VISp,M608_s062_VISp.tif,225700594,5313938.0,11363940,5049480
adult,M608,VISp,M608_s063_VISp.tif,64335647,1643620.0,10965480,5354420
adult,M608,VISp,M608_s064_VISp.tif,338039356,7092899.0,14588640,5305560
adult,M608,VISp,M608_s065_VISp.tif,153149299,3500745.0,11549460,4350540
adult,M608,VISp,M608_s066_VISp.tif,93303723,2004088.0,16031720,6128520
adult,M608,VISp,M608_s067_VISp.tif,125751251,2751764.0,7626800,5067820
adult,M608,VISp,M608_s068_VISp.tif,177653966,4276883.0,11928060,4734960
adult,M608,VISp,M608_s069_VISp.tif,303637013,5997564.0,12641120,5052440
adult,M608,VISp,M608_s070_VISp.tif,190268485,3647752.0,12648243,5164281
adult,M608,VISp,M608_s071_VISp.tif,103376392,2128941.0,9733862,3937681
adult,M608,VISp,M608_s072_VISp.tif,417290204,9359156.0,9949084,4559801
adult,M608,VISpl,M608_s064_VISpl.tif,4485204,95866.0,213180,110560
adult,M608,VISpl,M608_s065_VISpl.tif,3056557,71813.0,201240,108760
adult,M608,VISpl,M608_s066_VISpl.tif,1617918,37756.0,279600,135520
adult,M608,VISpl,M608_s067_VISpl.tif,2648385,64479.0,280280,129620
adult,M608,VISpl,M608_s068_VISpl.tif,6021577,142130.0,429200,200400
adult,M608,VISpl,M608_s069_VISpl.tif,21341414,455887.0,1383480,366200
adult,M608,VISpl,M608_s070_VISpl.tif,15792389,312126.0,1445660,560980
adult,M608,VISpl,M608_s071_VISpl.tif,21146755,490589.0,2613920,1125460
adult,M608,VISpl,M608_s072_VISpl.tif,94576554,1955657.0,2163741,1044401
adult,M608,VISpm,M608_s025_VISpm.tif,17669851,1563347.0,842400,504000
adult,M608,VISpm,M608_s032_VISpm.tif,403070,51000.0,48000,26400
adult,M608,VISpm,M608_s033_VISpm.tif,2515150,377649.0,520000,194400
adult,M608,VISpm,M608_s034_VISpm.tif,21941580,1676563.0,954800,578400
adult,M608,VISpm,M608_s035_VISpm.tif,15350792,1863776.0,1141140,811740
adult,M608,VISpm,M608_s036_VISpm.tif,3374799,70123.0,1522800,1036000
adult,M608,VISpm,M608_s037_VISpm.tif,6781181,697738.0,2046240,1728220
adult,M608,VISpm,M608_s038_VISpm.tif,3938355,237000.0,1681500,1219680
adult,M608,VISpm,M608_s039_VISpm.tif,5506274,228719.0,1598400,1174400
adult,M608,VISpm,M608_s040_VISpm.tif,3137172,122118.0,1332800,1006000
adult,M608,VISpm,M608_s041_VISpm.tif,3236804,142927.0,1305600,940000
adult,M608,VISpm,M608_s042_VISpm.tif,4103021,168317.0,1332480,990400
adult,M608,VISpm,M608_s043_VISpm.tif,3449386,135585.0,1394940,898480
adult,M608,VISpm,M608_s044_VISpm.tif,2814515,189469.0,1289600,876800
adult,M608,VISpm,M608_s045_VISpm.tif,5985767,109441.0,1215200,783200
adult,M608,VISpm,M608_s046_VISpm.tif,3260807,249088.0,1296820,692840
adult,M608,VISpm,M608_s047_VISpm.tif,1325846,35918.0,1125600,654800
adult,M608,VISpm,M608_s048_VISpm.tif,1870757,45050.0,1066000,590000
adult,M608,VISpm,M608_s049_VISpm.tif,1890860,33955.0,686000,372000
adult,M608,VISpm,M608_s050_VISpm.tif,1922483,24836.0,686400,407200
adult,M608,VISpm,M608_s051_VISpm.tif,1719175,22432.0,963200,569600
adult,M608,VISpm,M608_s052_VISpm.tif,2274785,46976.0,370000,221200
adult,M608,VISpm,M608_s053_VISpm.tif,5240914,105044.0,470400,256800
adult,M608,VISpm,M608_s054_VISpm.tif,3765674,76452.0,319200,187200
adult,M608,VISpm,M608_s055_VISpm.tif,784707,17180.0,377200,222000
adult,M608,VISpm,M608_s056_VISpm.tif,4506292,108647.0,459200,258000
adult,M608,VISpm,M608_s057_VISpm.tif,4107764,80985.0,269440,150120
adult,M608,VISpm,M608_s058_VISpm.tif,6726403,284057.0,224000,135200
adult,M608,VISpm,M608_s059_VISpm.tif,14250263,304611.0,367200,176000
adult,M608,VISpm,M608_s060_VISpm.tif,4625083,99002.0,328000,188400
adult,M608,VISpm,M608_s061_VISpm.tif,3472974,67468.0,197200,109200
adult,M608,VISpm,M608_s062_VISpm.tif,12736507,294960.0,384000,188400
adult,M608,VISpm,M608_s063_VISpm.tif,2247093,57247.0,368000,220800
adult,M608,VISpm,M608_s064_VISpm.tif,2282616,72406.0,57600,28000
adult,M608,VISpm,M608_s065_VISpm.tif,725731,33528.0,42000,23200
adult,M608,VISpm,M608_s066_VISpm.tif,707739,16297.0,56000,34800
adult,M608,VISpm,M608_s067_VISpm.tif,486777,17183.0,76480,22700
adult,M608,VISpm,M608_s068_VISpm.tif,585315,44512.0,33600,19600
adult,M608,VISpm,M608_s069_VISpm.tif,76231,1278.0,1200,1200
adult,M608,VISpor,M608_s049_VISpor.tif,173673,19978.0,212800,76000
adult,M608,VISpor,M608_s050_VISpor.tif,754031,66271.0,719200,330800
adult,M608,VISpor,M608_s051_VISpor.tif,2789371,6899.0,1992800,937200
adult,M608,VISpor,M608_s052_VISpor.tif,9912550,251159.0,3120000,1439200
adult,M608,VISpor,M608_s053_VISpor.tif,15434746,332600.0,2642200,1284660
adult,M608,VISpor,M608_s054_VISpor.tif,19080662,428392.0,3973920,1808460
adult,M608,VISpor,M608_s055_VISpor.tif,3301006,113.0,3732120,1650820
adult,M608,VISpor,M608_s056_VISpor.tif,25181667,563865.0,4253620,2036540
adult,M608,VISpor,M608_s057_VISpor.tif,19892244,388530.0,3942400,1828800
