age,identifier,region,image_count,raw_intensity_sum,masked_gauss_intensity_sum,total_image_pixels,tissue_area_pixels
p3,M488,VISl,1,6755737,213089.0723238973,1996800,1033200
p3,M488,VISli,1,1689010,144367.4171549761,1479720,652020
p3,M488,VISp,10,288021009,25922415.396640662,69347540,37279940
p3,M488,VISpm,5,42678890,1670919.5747970208,9635860,7086120
p3,M488,VISrl,1,16281501,393237.37161613884,2032800,1098000
p3,M496,RSPagl,10,103396469,2077601.0243059108,22468740,7027460
p3,M496,RSPd,12,306210910,5920758.470093698,30170840,15686399
p3,M496,RSPv,4,141969025,2761783.105456578,22069200,9318200
p3,M496,VISal,1,23373605,435966.4987925371,2650520,1282560
p3,M496,VISam,5,121379468,2534927.0854554726,11600100,7849820
p3,M496,VISl,2,14784052,372234.49554066453,4542400,2295600
p3,M496,VISp,20,2562300939,60188001.08874739,229298207,95704923
p3,M496,VISpm,6,119570222,2658178.0979983946,13340800,7694800
p3,M496,VISpor,1,14341704,326820.6881019054,3793200,2384000
p3,M496,VISrl,1,3161495,66737.36150313301,1268800,368000
p3,M729,RSPagl,11,56346845,1663865.591469824,15690500,8999660
p3,M729,RSPd,4,20953442,492193.3720735532,9849960,4789780
p3,M729,RSPv,5,43414466,1238018.4057831492,16967780,9381200
p3,M729,VISa,4,79117379,2357930.272148862,13564000,7773720
p3,M729,VISal,1,839963,70830.92892468946,1408000,613528
p3,M729,VISam,6,43522748,1248983.7233203186,12052160,7282400
p3,M729,VISl,4,12249138,437084.6885646478,5399540,2488100
p3,M729,VISli,1,765619,33322.250659091456,695600,273200
p3,M729,VISp,22,396386619,47079026.657987855,141210647,62483107
p3,M729,VISpm,7,9149380,329323.7764349602,8069720,4651934
p3,M729,VISpor,1,3267234,149685.9030172676,1771200,836000
p3,M730,RSPagl,15,106570444,2738330.80083206,15587020,9189240
p3,M730,RSPd,14,124903766,3580586.90851255,34547280,16897780
p3,M730,RSPv,2,40246752,1104371.1160331916,6370260,3754040
p3,M730,VISa,4,49266741,1401567.1890447596,9387860,5516640
p3,M730,VISal,3,15240731,475864.149068795,3501420,1883840
p3,M730,VISam,4,19501794,580841.4571071231,4365920,3264740
p3,M730,VISl,3,13913411,520809.8333831929,4878320,2648780
p3,M730,VISli,1,3615708,118255.30665911676,919240,435820
p3,M730,VISp,26,568141194,50168569.22497708,194102179,82920016
p3,M730,VISpm,14,64073686,2086296.393227458,17278600,11131480
p3,M730,VISrl,2,8529851,300882.56917982764,3066820,1788480
p6,M733,RSPagl,41,385440972,6660111.423960857,60587103,27597000
p6,M733,RSPd,41,669617789,12123299.468501301,101319541,48410021
p6,M733,RSPv,37,809690317,15476483.233915519,104093460,59091240
p6,M733,VISa,11,144276666,2426704.8717074227,19963840,11114100
