age,identifier,region,image_count,raw_intensity_sum,masked_median_intensity_sum,total_image_pixels,tissue_area_pixels
p20,M712,VISa,1,5213717,56996.0,1854160,874180
p20,M712,VISal,2,16121535,435371.0,5142509,2516305
p20,M712,VISam,5,39822433,1239213.0,12099332,7997898
p20,M712,VISp,8,110582954,4017865.0,35626797,20810137
p20,M712,VISrl,2,18478645,461990.0,6118572,3040962
p20,M715,RSPagl,20,287781156,6527111.0,26380660,17426300
p20,M715,RSPd,14,263691534,5697735.0,38824300,21419140
p20,M715,RSPv,7,193662002,4338621.0,34663160,19386820
p20,M715,VISa,6,301541075,6661325.0,28585820,16325140
p20,M715,VISal,5,91904648,2027560.0,17053920,9132420
p20,M715,VISam,7,111068649,2441436.0,13276220,8397580
p20,M715,VISl,9,56584100,1591233.0,26180879,12539339
p20,M715,VISli,5,19381281,324286.0,9459340,3941480
p20,M715,VISp,24,694858964,30408071.0,229684618,113868912
p20,M715,VISpm,11,102977232,2328623.0,18364360,11127860
p20,M715,VISpor,1,1500050,2994.0,1918400,749860
p20,M715,VISrl,6,73529676,1722927.0,14723960,6485680
p3,M487,RSPagl,4,36474126,732504.0,4538800,3376800
p3,M487,RSPd,4,66063415,1249069.0,9675360,5484600
p3,M487,RSPv,2,57341096,1243649.0,8098900,5562280
p3,M487,VISa,2,98103156,1888993.0,10619440,7045720
p3,M487,VISal,1,17346264,379260.0,3755180,2069920
p3,M487,VISam,2,6333806,185299.0,1744800,1065200
p3,M487,VISl,1,18801167,607400.0,2760000,1170800
p3,M487,VISp,5,234524351,20494445.0,40682596,20288818
p3,M487,VISpm,4,50585200,1397744.0,7892360,5577720
p3,M487,VISrl,2,6640672,146364.0,1934000,646800
p3,M488,RSPagl,12,54590905,1382062.0,16162940,7246160
p3,M488,RSPd,9,79698488,2012709.0,22678120,12160520
p3,M488,RSPv,1,26215443,586224.0,2468100,1464100
p3,M488,VISa,1,6500010,187303.0,3170860,1400320
p3,M488,VISal,1,3384940,16143.0,2488500,1180860
p3,M488,VISam,2,25901002,526448.0,4392800,3547200
p3,M488,VISl,1,6755737,163171.0,1996800,1033200
p3,M488,VISli,1,1689010,95264.0,1479720,652020
p3,M488,VISp,10,288021009,27608598.0,69347540,37279940
p3,M488,VISpm,5,42678890,1944693.0,9635860,7086120
p3,M488,VISrl,1,16281501,344264.0,2032800,1098000
p3,M496,RSPagl,10,103396469,1922474.0,22468740,7027460
p3,M496,RSPd,12,306210910,5821202.0,30170840,15686399
p3,M496,RSPv,4,141969025,2509482.0,22069200,9318200
p3,M496,VISal,1,23373605,388859.0,2650520,1282560
p3,M496,VISam,5,121379468,2325139.0,11600100,7849820
p3,M496,VISl,2,14784052,319226.0,4542400,2295600
p3,M496,VISp,20,2562300939,57073118.0,229298207,95704923
p3,M496,VISpm,6,119570222,2489693.0,13340800,7694800
p3,M496,VISpor,1,14341704,252570.0,3793200,2384000
p3,M496,VISrl,1,3161495,51688.0,1268800,368000
p3,M729,RSPagl,11,56346845,1317374.0,15690500,8999660
p3,M729,RSPd,4,20953442,415241.0,9849960,4789780
p3,M729,RSPv,5,43414466,1019090.0,16967780,9381200
p3,M729,VISa,4,79117379,2069442.0,13564000,7773720
p3,M729,VISal,1,839963,74667.0,1408000,613528
p3,M729,VISam,6,43522748,996736.0,12052160,7282400
p3,M729,VISl,4,12249138,274243.0,5399540,2488100
p3,M729,VISli,1,765619,21295.0,695600,273200
p3,M729,VISp,22,396386619,52660507.0,141210647,62483107
p3,M729,VISpm,7,9149380,195800.0,8069720,4651934
p3,M729,VISpor,1,3267234,98145.0,1771200,836000
p3,M730,RSPagl,15,106570444,2493005.0,15587020,9189240
p3,M730,RSPd,14,124903766,2786954.0,34547280,16897780
p3,M730,RSPv,2,40246752,1039894.0,6370260,3754040
p3,M730,VISa,4,49266741,1111516.0,9387860,5516640
p3,M730,VISal,3,15240731,310919.0,3501420,1883840
p3,M730,VISam,4,19501794,487296.0,4365920,3264740
p3,M730,VISl,3,13913411,355603.0,4878320,2648780
p3,M730,VISli,1,3615708,114562.0,919240,435820
p3,M730,VISp,26,568141194,51074419.0,194102179,82920016
p3,M730,VISpm,14,64073686,1728950.0,17278600,11131480
p3,M730,VISrl,2,8529851,241515.0,3066820,1788480
p6,M733,RSPagl,41,385440972,5709014.0,60587103,27597000
p6,M733,RSPd,41,669617789,9734893.0,101319541,48410021
p6,M733,RSPv,37,809690317,11846908.0,104093460,59091240
p6,M733,VISa,11,144276666,1953074.0,19963840,11114100
p6,M733,VISal,9,84008362,1561182.0,16003300,7860300
p6,M733,VISam,7,72932559,1017799.0,11110160,6158260
p6,M733,VISl,17,157624607,3810131.0,29730272,14841177
p6,M733,VISli,17,72162395,1380558.0,17736017,7200038
p6,M733,VISp,29,972545256,70460399.0,161052174,79761339
p6,M733,VISpl,2,9902896,166202.0,2063980,619500
p6,M733,VISpm,23,179263525,2846442.0,23736860,16397720
p6,M733,VISpor,7,106445478,1849580.0,10351741,5724441
p6,M733,VISrl,13,128843929,2245134.0,22942120,11338080
p6,M734,RSPagl,43,296279305,7494768.0,64921700,30112900
p6,M734,RSPd,44,566947297,15100050.0,128099520,56423720
p6,M734,RSPv,41,645519817,13931051.0,146143460,75129900
p6,M734,VISa,15,166889634,3264205.0,98623480,18367480
p6,M734,VISal,7,74075970,2995576.0,17765860,9362300
p6,M734,VISam,11,113409294,2073985.0,13643480,8694260
p6,M734,VISl,10,69051271,5062818.0,18298120,7653780
p6,M734,VISli,9,37383692,1434044.0,11463000,4434260
p6,M734,VISp,26,1941054710,179748955.0,266863747,104990942
p6,M734,VISpl,1,28921,3924.0,6000,2800
p6,M734,VISpm,23,162117051,7624119.0,27916740,18440800
p6,M734,VISpor,9,46889732,1072754.0,9186291,4484000
p6,M734,VISrl,9,45125539,1308324.0,11688960,5011080
