age,identifier,region,image_count,raw_intensity_sum,dist_weighted_intensity_sum,total_image_pixels,tissue_area_pixels
p12,M705,VISpor,3,4446056,1548922.4209739068,5514460,2222180
p12,M705,VISrl,10,132281232,43602957.025598586,30032280,14880060
p20,M648,RSPagl,13,193824721,61516226.61310028,20087720,12075480
p20,M648,RSPd,4,175096338,57649311.93937802,15292880,8227080
p20,M648,VISa,10,729697877,237543797.4289376,49001140,28677180
p20,M648,VISal,8,234923265,76329563.3103357,26315739,13869079
p20,M648,VISam,11,334256795,110012173.98818898,21734320,12956200
p20,M648,VISl,1,11554878,3845902.0046859267,3498680,1835160
p20,M648,VISli,2,4419160,1402734.2155082198,2251140,964680
p20,M648,VISp,24,3208127156,987541610.059503,295133648,149997273
p20,M648,VISpm,8,109910823,35498962.36001348,9873480,5555800
p20,M648,VISrl,3,106234760,33232722.07751064,8503400,4233460
p20,M649,RSPagl,17,208210419,65645115.18595777,25355780,14499540
p20,M649,RSPd,11,270327808,88010362.1163023,31560400,17681980
p20,M649,RSPv,1,49881660,16106002.561909458,5579239,3211939
p20,M649,VISa,3,118927462,39103473.03169496,15336280,9005420
p20,M649,VISal,9,229490388,72842564.41842309,30142559,14774179
p20,M649,VISam,8,199905101,63517688.44596697,16573060,9956980
p20,M649,VISl,3,25728483,8182773.339490738,8968820,4437960
p20,M649,VISli,3,11564401,3575639.7663943926,5951401,2352360
p20,M649,VISp,27,2095539221,626389988.6444962,269942519,155180922
p20,M649,VISpm,7,159527622,50412652.59071196,15479520,9759180
p20,M649,VISpor,1,3051354,1074876.2526504067,1461600,675200
p20,M649,VISrl,2,29024631,8767377.197019007,4835220,1364040
p20,M712,RSPagl,3,16129999,5169731.86406749,4145500,2948219
p20,M712,RSPd,4,41663969,13872205.153574135,11272727,6666252
p20,M712,VISa,1,5213717,1796239.2320964083,1854160,874180
p20,M712,VISal,2,16121535,5164003.979011656,5142509,2516305
p20,M712,VISam,5,39822433,13093771.207303695,12099332,7997898
p20,M712,VISp,8,110582954,34894782.83311002,35626797,20810137
p20,M712,VISrl,2,18478645,6099316.774322023,6118572,3040962
p20,M715,RSPagl,20,287781156,90892889.56678885,26380660,17426300
p20,M715,RSPd,14,263691534,88149281.63969791,38824300,21419140
p20,M715,RSPv,7,193662002,62576097.265367314,34663160,19386820
p20,M715,VISa,6,301541075,99764030.38876952,28585820,16325140
p20,M715,VISal,5,91904648,30131921.83959359,17053920,9132420
p20,M715,VISam,7,111068649,35742054.902188286,13276220,8397580
p20,M715,VISl,9,56584100,18229728.98140593,26180879,12539339
p20,M715,VISli,5,19381281,5910415.678078471,9459340,3941480
p20,M715,VISp,24,694858964,208412605.1554433,229684618,113868912
p20,M715,VISpm,11,102977232,33256027.27189355,18364360,11127860
p20,M715,VISpor,1,1500050,523310.43843150244,1918400,749860
p20,M715,VISrl,6,73529676,24142585.15525948,14723960,6485680
p3,M487,RSPagl,4,36474126,11282680.38738338,4538800,3376800
p3,M487,RSPd,4,66063415,22066245.279054627,9675360,5484600
p3,M487,RSPv,2,57341096,18731554.520199224,8098900,5562280
p3,M487,VISa,2,98103156,33087120.34266483,10619440,7045720
p3,M487,VISal,1,17346264,5799870.439009035,3755180,2069920
p3,M487,VISam,2,6333806,2044641.1739072849,1744800,1065200
p3,M487,VISl,1,18801167,5874078.457130262,2760000,1170800
p3,M487,VISp,5,234524351,75321222.06349424,40682596,20288818
p3,M487,VISpm,4,50585200,16183250.926881041,7892360,5577720
p3,M487,VISrl,2,6640672,2205074.8549143896,1934000,646800
p3,M488,RSPagl,12,54590905,17858843.947003957,16162940,7246160
p3,M488,RSPd,9,79698488,26647156.249590114,22678120,12160520
p3,M488,RSPv,1,26215443,8822521.68641274,2468100,1464100
p3,M488,VISa,1,6500010,2113522.5489695333,3170860,1400320
p3,M488,VISal,1,3384940,1098542.0704525076,2488500,1180860
p3,M488,VISam,2,25901002,8272514.592821447,4392800,3547200
p3,M488,VISl,1,6755737,2176983.836283235,1996800,1033200
p3,M488,VISli,1,1689010,543173.4079083822,1479720,652020
p3,M488,VISp,10,288021009,90371771.79175808,69347540,37279940
p3,M488,VISpm,5,42678890,13826592.528364891,9635860,7086120
p3,M488,VISrl,1,16281501,4891224.951823241,2032800,1098000
p3,M496,RSPagl,10,103396469,33014894.223184913,22468740,7027460
p3,M496,RSPd,12,306210910,100920980.18028486,30170840,15686399
p3,M496,RSPv,4,141969025,44157087.55392334,22069200,9318200
p3,M496,VISal,1,23373605,7590602.780034438,2650520,1282560
p3,M496,VISam,5,121379468,39693717.29731539,11600100,7849820
p3,M496,VISl,2,14784052,4862463.25709674,4542400,2295600
p3,M496,VISp,20,2562300939,777581781.0815235,229298207,95704923
p3,M496,VISpm,6,119570222,38975438.65176734,13340800,7694800
p3,M496,VISpor,1,14341704,4571387.172962161,3793200,2384000
p3,M496,VISrl,1,3161495,1017508.6557440092,1268800,368000
