age,identifier,region,image_filename,raw_intensity_sum,dist_weighted_intensity_sum,total_image_pixels,tissue_area_pixels
adult,M608,VISp,M608_s033_VISp.tif,19840587,6713507.375436864,2463920,1287220
adult,M608,VISp,M608_s034_VISp.tif,54860836,16974595.355150163,2134520,1593200
adult,M608,VISp,M608_s035_VISp.tif,71103522,21523293.463185247,2217600,1701200
adult,M608,VISp,M608_s036_VISp.tif,86591374,24588096.15813026,6892200,3955100
adult,M608,VISp,M608_s037_VISp.tif,100687622,28707239.329566803,5152140,3719440
adult,M608,VISp,M608_s038_VISp.tif,75598919,22929597.03636704,6021180,3992720
adult,M608,VISp,M608_s039_VISp.tif,79552904,22701877.305698927,5781280,3788360
adult,M608,VISp,M608_s040_VISp.tif,66085304,19473178.88804189,6566400,4272400
adult,M608,VISp,M608_s041_VISp.tif,51922103,15636734.4550654,7290360,4600600
adult,M608,VISp,M608_s042_VISp.tif,62125002,18665300.05492294,5731200,4302340
adult,M608,VISp,M608_s043_VISp.tif,49115640,14542392.367702961,7914520,4487240
adult,M608,VISp,M608_s044_VISp.tif,44576679,13743649.656627666,7763880,4675260
adult,M608,VISp,M608_s045_VISp.tif,75587010,21194359.37593957,8411520,5194240
adult,M608,VISp,M608_s046_VISp.tif,51417714,15601927.823233608,9307080,5642240
adult,M608,VISp,M608_s047_VISp.tif,47430420,14407329.501673669,11512160,6755680
adult,M608,VISp,M608_s048_VISp.tif,43889706,13091028.356191285,10394280,6611000
adult,M608,VISp,M608_s049_VISp.tif,34929727,10898033.329736235,8449920,4990540
adult,M608,VISp,M608_s050_VISp.tif,32691424,10235364.145128643,11612580,6048720
adult,M608,VISp,M608_s051_VISp.tif,59989643,18080391.617892396,14829000,9190020
adult,M608,VISp,M608_s052_VISp.tif,58306911,18410020.726363912,16940420,7845300
adult,M608,VISp,M608_s053_VISp.tif,107212759,34992893.61577916,11973780,6043120
adult,M608,VISp,M608_s054_VISp.tif,90036230,28425091.82645289,11061640,5507240
adult,M608,VISp,M608_s055_VISp.tif,26606507,8324230.766316789,17000240,8590120
adult,M608,VISp,M608_s056_VISp.tif,132601067,41557721.34805968,14403000,7845480
adult,M608,VISp,M608_s057_VISp.tif,114828208,34893170.43331268,9765460,4728220
adult,M608,VISp,M608_s058_VISp.tif,408529333,122657028.73875158,8802000,4661700
adult,M608,VISp,M608_s059_VISp.tif,316753094,99818158.02342495,8834000,4910880
adult,M608,VISp,M608_s060_VISp.tif,110515726,34599779.39482631,10932360,5356720
adult,M608,VISp,M608_s061_VISp.tif,95461782,30956265.10854838,9355000,4117840
adult,M608,VISp,M608_s062_VISp.tif,225700594,69860465.43088976,11363940,5049480
adult,M608,VISp,M608_s063_VISp.tif,64335647,20106327.050599236,10965480,5354420
adult,M608,VISp,M608_s064_VISp.tif,338039356,108904886.6611922,14588640,5305560
adult,M608,VISp,M608_s065_VISp.tif,153149299,47349622.13534974,11549460,4350540
adult,M608,VISp,M608_s066_VISp.tif,93303723,31318171.495759826,16031720,6128520
adult,M608,VISp,M608_s067_VISp.tif,125751251,39209010.58497754,7626800,5067820
adult,M608,VISp,M608_s068_VISp.tif,177653966,57770834.21134946,11928060,4734960
adult,M608,VISp,M608_s069_VISp.tif,303637013,98369300.24976335,12641120,5052440
adult,M608,VISp,M608_s070_VISp.tif,190268485,62698496.67990009,12648243,5164281
adult,M608,VISp,M608_s071_VISp.tif,103376392,33818640.6755288,9733862,3937681
adult,M608,VISp,M608_s072_VISp.tif,417290204,121418623.11698951,9949084,4559801
adult,M608,VISpl,M608_s064_VISpl.tif,4485204,1585910.9806179276,213180,110560
adult,M608,VISpl,M608_s065_VISpl.tif,3056557,1062642.2642163038,201240,108760
adult,M608,VISpl,M608_s066_VISpl.tif,1617918,569698.280316865,279600,135520
adult,M608,VISpl,M608_s067_VISpl.tif,2648385,923621.4456848489,280280,129620
adult,M608,VISpl,M608_s068_VISpl.tif,6021577,2105508.190490352,429200,200400
adult,M608,VISpl,M608_s069_VISpl.tif,21341414,7654209.750801273,1383480,366200
adult,M608,VISpl,M608_s070_VISpl.tif,15792389,5775717.158553947,1445660,560980
adult,M608,VISpl,M608_s071_VISpl.tif,21146755,7416001.921675706,2613920,1125460
adult,M608,VISpl,M608_s072_VISpl.tif,94576554,32248358.589338966,2163741,1044401
adult,M608,VISpm,M608_s025_VISpm.tif,17669851,5819557.387128129,842400,504000
adult,M608,VISpm,M608_s032_VISpm.tif,403070,149585.6943556262,48000,26400
adult,M608,VISpm,M608_s033_VISpm.tif,2515150,965922.4461925179,520000,194400
adult,M608,VISpm,M608_s034_VISpm.tif,21941580,7252519.45914118,954800,578400
adult,M608,VISpm,M608_s035_VISpm.tif,15350792,5068514.5279450845,1141140,811740
adult,M608,VISpm,M608_s036_VISpm.tif,3374799,1043114.1714026042,1522800,1036000
adult,M608,VISpm,M608_s037_VISpm.tif,6781181,2420664.4603375047,2046240,1728220
adult,M608,VISpm,M608_s038_VISpm.tif,3938355,1297237.6902553393,1681500,1219680
adult,M608,VISpm,M608_s039_VISpm.tif,5506274,1758302.3356674358,1598400,1174400
