age,normalization,n_regions,r,r_squared,p_value,correlation_method
p3,zscore,8,0.9991999015494952,0.998400443256521,1.2797043654161986e-09,Pearson
p12,zscore,8,-0.7666707317388275,0.5877840109049491,0.026459461005855844,Pearson
p20,zscore,7,1.0,1.0,0.0,Pearson
