age,normalization,n_regions,r,r_squared,p_value,correlation_method
p3,combined,8,-0.08769620617181807,0.007690624576930022,0.8364107166056789,Pearson
p12,combined,8,0.44578298693995416,0.19872247144510735,0.2682891780414348,Pearson
p20,combined,8,-0.07016326959540695,0.004922884400317757,0.8688749889432594,Pearson
adult,combined,8,0.2001673001957614,0.04006694806766006,0.634590925419211,Pearson
