age,normalization,n_regions,r,r_squared,p_value,correlation_method
p3,robust,8,0.38417490996391623,0.14759036144578314,0.34740951759430705,Spearman
p12,robust,8,-0.42139769044634484,0.17757601351351346,0.29843396984815457,Spearman
p20,robust,8,0.0,0.0,1.0,Spearman
adult,robust,8,-0.13638618139749523,0.018601190476190473,0.7474293952265143,Spearman
