age,identifier,region,image_filename,raw_intensity_sum,masked_mean_intensity_sum,total_image_pixels,tissue_area_pixels
p12,M677,RSPd,M677_098_RSPd.tif,20376252,538655.2502279864,2955020,1208960
p12,M677,RSPd,M677_099_RSPd.tif,61148734,1291773.2558225913,4057560,1467080
p12,M677,RSPd,M677_100_RSPd.tif,40268224,751685.0569489242,5685960,1715180
p12,M677,RSPd,M677_101_RSPd.tif,30980026,867656.619004508,6964640,1646660
p12,M677,RSPv,M677_062_RSPv.tif,51312515,1333017.7807083572,2158000,1405600
p12,M677,RSPv,M677_063_RSPv.tif,147429220,5491784.926173047,2622620,1763300
p12,M677,RSPv,M677_064_RSPv.tif,269973808,6240825.348142528,6123260,3206400
p12,M677,RSPv,M677_065_RSPv.tif,119988346,3103094.16721068,2921460,1894940
p12,M677,RSPv,M677_066_RSPv.tif,68628126,1669117.526510309,2633880,1564180
p12,M677,RSPv,M677_068_RSPv.tif,52537086,1584611.9224042245,2502400,1399600
p12,M677,RSPv,M677_070_RSPv.tif,46229101,958647.3239388639,3040000,1799600
p12,M677,RSPv,M677_071_RSPv.tif,83638385,1542878.4890697475,2782400,1648000
p12,M677,RSPv,M677_072_RSPv.tif,69088005,1163356.34177345,2782400,1554000
p12,M677,RSPv,M677_073_RSPv.tif,80164092,1809671.407994869,2848000,1706000
p12,M677,RSPv,M677_074_RSPv.tif,93016718,3488647.974722601,2901600,1740800
p12,M677,RSPv,M677_075_RSPv.tif,53194867,970188.9106105193,2496000,1416400
p12,M677,RSPv,M677_076_RSPv.tif,194634524,5517210.1606977405,2434780,1545740
p12,M677,RSPv,M677_077_RSPv.tif,117783070,3429727.8592650597,2620800,1601200
p12,M677,RSPv,M677_078_RSPv.tif,55916272,936323.565979249,2855340,1731920
p12,M677,RSPv,M677_079_RSPv.tif,169087506,4580424.700907955,2945840,1808200
p12,M677,RSPv,M677_080_RSPv.tif,51010174,1618529.3390909208,2784000,1760400
p12,M677,RSPv,M677_081_RSPv.tif,86387855,1783567.3174814524,2919200,1768800
p12,M677,RSPv,M677_082_RSPv.tif,159370495,2489918.197336973,2953800,1779140
p12,M677,RSPv,M677_083_RSPv.tif,63378012,887523.0943614515,2900040,1810000
p12,M677,RSPv,M677_084_RSPv.tif,105926880,3479494.096607794,3828000,2231200
p12,M677,RSPv,M677_085_RSPv.tif,122508639,2951995.625340599,4688720,2885600
p12,M677,RSPv,M677_086_RSPv.tif,105878851,2591890.959065727,4928220,3029880
p12,M677,RSPv,M677_087_RSPv.tif,261693472,5653747.878417841,6585600,4361600
p12,M677,RSPv,M677_088_RSPv.tif,122509133,1409337.1013653362,4750000,2204400
p12,M677,RSPv,M677_090_RSPv.tif,96386279,1859780.5293978201,7608480,4453520
p12,M677,RSPv,M677_091_RSPv.tif,89618799,1262510.2160591986,6763520,4292640
p12,M677,RSPv,M677_092_RSPv.tif,69557240,1528184.5180522853,7216140,3847720
p12,M677,RSPv,M677_093_RSPv.tif,45237076,776229.812351071,4922159,3101660
p12,M677,RSPv,M677_094_RSPv.tif,91037879,1768208.7669598814,6611760,3583120
p12,M677,RSPv,M677_095_RSPv.tif,44212695,859688.3463745193,4899600,2947440
p12,M677,RSPv,M677_096_RSPv.tif,42369927,821809.9739501968,4651320,2738560
p12,M677,RSPv,M677_097_RSPv.tif,47926531,941235.8531952549,4077980,1512520
p12,M677,RSPv,M677_098_RSPv.tif,31537210,610327.2434153043,4026520,1867740
p12,M677,RSPv,M677_099_RSPv.tif,79185468,2239633.1644886932,5738820,2183980
p12,M677,RSPv,M677_100_RSPv.tif,34975933,732954.8889168394,5437800,1815320
p12,M677,RSPv,M677_101_RSPv.tif,4495245,80728.14296189313,744620,298340
p12,M677,VISa,M677_070_VISa.tif,15775185,201368.8090897235,1227200,505600
p12,M677,VISa,M677_071_VISa.tif,63237545,995710.9968360772,2898000,1334400
p12,M677,VISa,M677_072_VISa.tif,86584866,2342475.894939011,4112400,2017600
p12,M677,VISa,M677_073_VISa.tif,126002032,2350149.8847291125,4030400,2334180
p12,M677,VISa,M677_074_VISa.tif,151398862,3100367.6510164854,3492720,2285400
p12,M677,VISa,M677_075_VISa.tif,72123971,1172153.2420066968,3336800,2044000
p12,M677,VISa,M677_076_VISa.tif,131111339,2220191.0847588917,3714360,2340440
p12,M677,VISa,M677_077_VISa.tif,345837851,5754660.153255388,4850400,2903600
p12,M677,VISa,M677_078_VISa.tif,88270221,1945814.749977142,3806440,2246400
p12,M677,VISa,M677_079_VISa.tif,34099995,471696.30580223014,1188180,601100
p12,M677,VISa,M677_080_VISa.tif,18188097,324549.32288078824,2576680,927900
p12,M677,VISal,M677_084_VISal.tif,23093632,785958.0222984104,878400,402400
p12,M677,VISal,M677_085_VISal.tif,42381266,1065998.2501689654,1579200,752400
p12,M677,VISal,M677_086_VISal.tif,60827157,974883.5851890492,2089800,1052580
p12,M677,VISal,M677_087_VISal.tif,51919948,912531.4975688984,2816000,1420800
p12,M677,VISal,M677_088_VISal.tif,73659640,1040053.2634700353,3017600,1538800
p12,M677,VISal,M677_089_VISal.tif,52462786,1119392.2316336937,3453200,1799200
p12,M677,VISal,M677_090_VISal.tif,49461139,1119972.5202947569,3918200,1950980
p12,M677,VISal,M677_091_VISal.tif,46685985,872898.4160030149,3765440,1805740
p12,M677,VISal,M677_092_VISal.tif,39974607,1014301.0343228009,3326400,1915200
p12,M677,VISal,M677_093_VISal.tif,60535373,1533209.7344775812,3616659,2080480
p12,M677,VISam,M677_075_VISam.tif,10411194,277667.3988991977,560000,292400
p12,M677,VISam,M677_076_VISam.tif,41641822,861257.0436002734,1279760,651260
p12,M677,VISam,M677_077_VISam.tif,81192007,1816933.522558486,2006400,834400
p12,M677,VISam,M677_078_VISam.tif,27413084,474908.10973219725,1460480,846400
p12,M677,VISam,M677_079_VISam.tif,99442109,1313184.197480518,2133060,1403860
p12,M677,VISam,M677_080_VISam.tif,30974412,556642.9238152201,2462400,1674000
p12,M677,VISam,M677_081_VISam.tif,43611463,957022.863525133,1652000,1199200
p12,M677,VISam,M677_082_VISam.tif,29733055,552461.2006693853,1057320,626820
p12,M677,VISam,M677_083_VISam.tif,37941126,681034.4393345423,1489200,1165600
p12,M677,VISam,M677_084_VISam.tif,45920681,767529.6211698521,1324800,1018000
p12,M677,VISam,M677_086_VISam.tif,70014515,917193.4312703412,1334800,780000
p12,M677,VISam,M677_087_VISam.tif,14563304,225446.80876480645,569840,442280
p12,M677,VISl,M677_093_VISl.tif,8331601,123093.269942821,867300,414680
p12,M677,VISl,M677_094_VISl.tif,67922811,1369923.3301203407,2875600,1427600
p12,M677,VISl,M677_095_VISl.tif,16832921,444836.6329142826,2494320,1215640
p12,M677,VISl,M677_096_VISl.tif,26501647,482067.9241712105,2958560,1509120
p12,M677,VISl,M677_098_VISl.tif,1225985,146381.14287980105,621600,33600
p12,M677,VISl,M677_099_VISl.tif,29907,1109.5299999999968,1462800,1600
p12,M677,VISl,M677_100_VISl.tif,45762658,951785.2512445645,3227520,1618000
p12,M677,VISl,M677_101_VISl.tif,28489971,648289.0511200923,2128000,949600
p12,M677,VISli,M677_094_VISli.tif,25789190,591623.7072972562,1894400,701200
p12,M677,VISli,M677_095_VISli.tif,8537976,220648.59711757294,1665280,602760
p12,M677,VISli,M677_096_VISli.tif,10796232,204287.9043822223,1823740,668260
p12,M677,VISli,M677_097_VISli.tif,18583847,325882.7746285198,2249600,824400
p12,M677,VISli,M677_098_VISli.tif,34998503,562911.4295474248,2449200,978140
p12,M677,VISli,M677_099_VISli.tif,17355554,297646.0475682153,1876000,542400
p12,M677,VISli,M677_100_VISli.tif,24711266,500922.5431526178,2721700,860340
p12,M677,VISli,M677_101_VISli.tif,23269932,554580.1366391628,1681200,749380
p12,M677,VISp,M677_082_VISp.tif,284994807,3636964.477379968,7878480,4715460
p12,M677,VISp,M677_083_VISp.tif,171436346,4157904.395579532,6885441,4783860
p12,M677,VISp,M677_084_VISp.tif,384671272,6448726.626954137,7259840,4763180
p12,M677,VISp,M677_085_VISp.tif,365561543,9110818.094936132,8702742,6754131
p12,M677,VISp,M677_086_VISp.tif,662916904,15702559.615041034,8285940,5815460
p12,M677,VISp,M677_087_VISp.tif,162092542,3331834.8023447106,7344960,5089840
p12,M677,VISp,M677_088_VISp.tif,728248801,10550982.06004729,9324840,6090360
p12,M677,VISp,M677_089_VISp.tif,59747007,831625.8805614552,3494100,2073160
p12,M677,VISp,M677_090_VISp.tif,80271706,1265636.2859813464,5346640,3396080
p12,M677,VISp,M677_091_VISp.tif,128233087,2002316.340437193,8251320,5268660
p12,M677,VISp,M677_092_VISp.tif,105274821,2094300.7726505857,8942920,5542760
p12,M677,VISp,M677_093_VISp.tif,149958373,3334305.936808632,7483840,4375360
p12,M677,VISp,M677_094_VISp.tif,327191022,4866358.610073831,8140520,4979000
p12,M677,VISp,M677_095_VISp.tif,44990420,1137961.3522339016,4773000,3286080
p12,M677,VISp,M677_096_VISp.tif,85342655,2499324.3105537337,6974100,5021460
p12,M677,VISp,M677_097_VISp.tif,154878919,3276343.9397496055,11061640,6506580
p12,M677,VISp,M677_098_VISp.tif,152781839,3309687.5447522327,9414920,6358940
p12,M677,VISp,M677_099_VISp.tif,174363485,4549729.766144388,10322580,5655100
p12,M677,VISp,M677_100_VISp.tif,146914218,2950170.256413555,10844780,5968420
p12,M677,VISp,M677_101_VISp.tif,170725633,4537759.108700289,14415680,6959460
p12,M677,VISpm,M677_085_VISpm.tif,51743361,1199523.3117371725,1622400,1045600
p12,M677,VISpm,M677_087_VISpm.tif,6351498,131208.64844370235,408000,194400
p12,M677,VISpm,M677_088_VISpm.tif,909736,20155.01207725695,144400,101200
p12,M677,VISpm,M677_090_VISpm.tif,46758863,1053744.2091453671,2456800,2026400
p12,M677,VISpm,M677_091_VISpm.tif,26579007,578901.4511960273,1672800,1281600
p12,M677,VISpm,M677_092_VISpm.tif,15354103,436299.3274210163,1171940,824940
p12,M677,VISpm,M677_093_VISpm.tif,34947110,624261.0029452996,1795380,1063980
p12,M677,VISpm,M677_094_VISpm.tif,33937528,399324.7710499849,933660,681660
p12,M677,VISpm,M677_095_VISpm.tif,12247184,267020.4171573172,1156400,802800
p12,M677,VISpm,M677_096_VISpm.tif,13127562,334196.22826223326,1133980,822340
p12,M677,VISpm,M677_097_VISpm.tif,14671949,251688.26250611234,742000,370400
p12,M677,VISpm,M677_098_VISpm.tif,8684754,195149.56349105109,854000,465600
p12,M677,VISpm,M677_099_VISpm.tif,16203209,273624.82145538204,912000,495200
p12,M677,VISpm,M677_100_VISpm.tif,10746017,290293.28861527535,870400,512000
p12,M677,VISpm,M677_101_VISpm.tif,19093833,702112.4042172722,2216760,799700
p12,M677,VISpor,M677_100_VISpor.tif,4641215,68828.71709476244,761000,206580
p12,M677,VISpor,M677_101_VISpor.tif,17811877,261353.38035983953,1661660,786920
p12,M677,VISrl,M677_077_VISrl.tif,69266313,1759640.8040955847,2161500,585580
p12,M677,VISrl,M677_078_VISrl.tif,13995,155.76999999999748,400,400
p12,M677,VISrl,M677_080_VISrl.tif,20812475,334962.3025735578,1971200,950000
p12,M677,VISrl,M677_081_VISrl.tif,28910424,489424.76791969774,1902120,728740
p12,M677,VISrl,M677_082_VISrl.tif,16924,249.1799999999983,400,400
p12,M677,VISrl,M677_083_VISrl.tif,39597652,923423.9880858529,2157861,920481
p12,M677,VISrl,M677_084_VISrl.tif,120520858,3017330.968895992,3532740,1993180
p12,M677,VISrl,M677_085_VISrl.tif,48499362,954927.7616285144,1836000,884800
p12,M677,VISrl,M677_086_VISrl.tif,35572947,605246.1419797742,1440000,504000
p12,M677,VISrl,M677_087_VISrl.tif,30782586,601343.4605885262,2020820,873060
p12,M677,VISrl,M677_088_VISrl.tif,74380045,974435.88296122,2031960,1059460
p12,M677,VISrl,M677_089_VISrl.tif,18864637,288886.433171566,1516800,659200
p12,M677,VISrl,M677_090_VISrl.tif,11996440,196423.55888356737,1247920,395060
p12,M678,RSPagl,M678_s057_RSPagl.tif,20615580,329545.41185606556,1296000,1033600
p12,M678,RSPagl,M678_s058_RSPagl.tif,30713126,533032.8640498313,1182440,972000
p12,M678,RSPagl,M678_s059_RSPagl.tif,37529731,547084.7778767311,1489860,1142380
