age,identifier,region,image_count,raw_intensity_sum,masked_mean_intensity_sum,total_image_pixels,tissue_area_pixels
p12,M704,VISal,11,194884504,5861821.753367913,29147481,14946321
p12,M704,VISam,12,166477100,5408833.334421772,13899740,6771640
p12,M704,VISl,12,147075583,5135859.95385428,23176960,9286880
p12,M704,VISli,13,142017425,3359650.7961358326,19810860,6980180
p12,M704,VISp,20,1677567213,45569595.8425982,178067900,90808020
p12,M704,VISpm,21,351968963,11234452.320612663,35712980,20631420
p12,M704,VISpor,6,101179179,4452435.775920154,10319900,5984520
p12,M704,VISrl,14,204450191,6581215.774757083,26380580,10978040
p12,M705,RSPagl,47,767458375,16786273.77337211,69126300,33412880
p12,M705,RSPd,47,1571708770,45702412.513106115,135932080,59141180
p12,M705,RSPv,46,1843415475,53172054.25576762,158983580,77604600
p12,M705,VISa,16,896811867,15127416.158586876,51184900,28086940
p12,M705,VISal,12,203379946,3989783.444486078,22809060,11697560
p12,M705,VISam,18,482679680,13741623.239188619,33929520,19792260
p12,M705,VISl,18,372231291,12183384.16215609,44828080,23279080
p12,M705,VISli,17,159930177,4506217.339816073,23953320,10841620
p12,M705,VISp,28,1876080017,55287246.29593766,236799160,112747460
p12,M705,VISpm,25,291284328,6861539.599326954,31052740,16756080
p12,M705,VISpor,7,75193081,3520562.4264904954,10934720,5023400
p12,M705,VISrl,20,459228434,10644132.90628034,47236060,20195980
p12,M711,RSPagl,36,651983823,20855871.208922602,56080656,25904899
p12,M711,RSPd,36,1294608233,41000084.55730038,99185444,46735499
p12,M711,RSPv,30,1567181334,34517357.00110997,117464238,65122619
p12,M711,VISa,7,128452305,4485249.7916986,12891420,6591640
p12,M711,VISal,10,338429077,9244906.853972197,35123860,16356640
p12,M711,VISam,7,142320366,6935837.394528577,11131180,6988158
p12,M711,VISl,20,451156119,12083440.581506627,42008959,19641059
p12,M711,VISli,13,148889063,6039990.105212304,17791180,6885540
p12,M711,VISp,29,2256679408,65329643.54211363,172425750,92952116
p12,M711,VISpl,6,169125164,4250669.906876411,12222694,4853998
p12,M711,VISpm,18,321717738,13544990.926556995,25928560,14315980
p12,M711,VISpor,9,328923107,9650943.113447353,22108078,12006298
p12,M711,VISrl,9,173207263,4169136.588452971,22961100,9521820
p12,M758,RSPagl,54,1154245158,29413828.568025634,125749021,44955200
p12,M758,RSPd,55,1924400795,52644897.58646916,199297303,78808901
p12,M758,RSPv,46,1909002652,47373422.94328125,191453462,87584261
p12,M758,VISa,11,558854810,10959471.391764436,33351480,18418440
p12,M758,VISal,8,192461095,3994352.611295925,21471320,9830740
p12,M758,VISam,8,119282426,3783896.3055396774,8971960,6264920
p12,M758,VISl,29,753405439,19678360.21789099,75412060,39277280
p12,M758,VISli,23,333168406,7702162.569591793,41270682,18333800
p12,M758,VISp,41,3984304673,117987673.07704479,375875288,192186546
p12,M758,VISpl,9,510683383,10891344.234501785,34169262,11722299
p12,M758,VISpm,32,507259421,17124513.863688607,37302080,24424580
p12,M758,VISpor,23,581753611,13859562.619473232,49060098,25211060
p12,M758,VISrl,9,134883945,2570244.3611751935,29904962,7225061
p20,M648,RSPagl,26,917827499,19069302.909934796,43012200,28990000
p20,M648,RSPd,26,1894755040,38213325.729575686,87172140,51547740
p20,M648,RSPv,26,1877771268,34000738.89270564,106362535,62817816
p20,M648,VISa,19,1628437547,29857167.62946206,92240679,51068259
p20,M648,VISal,9,342109731,7699704.446088813,26546739,13656739
p20,M648,VISam,17,671053456,11657643.230501404,32306660,18861740
p20,M648,VISl,1,8440800,233701.27039590175,637840,310460
p20,M648,VISp,7,1433958484,28672404.501307186,69611460,40349240
p20,M648,VISpm,5,105924479,2494736.902592187,9242820,4797600
p20,M648,VISrl,18,525334714,11692833.71737529,38880598,15338420
