age,identifier,region,image_filename,raw_intensity_sum,total_image_pixels,tissue_area_pixels
p12,M677,RSPv,M677_076_RSPv.tif,194634524,2434780,1545740
p12,M677,RSPv,M677_077_RSPv.tif,117783070,2620800,1601200
p12,M677,RSPv,M677_078_RSPv.tif,55916272,2855340,1731920
p12,M677,RSPv,M677_079_RSPv.tif,169087506,2945840,1808200
p12,M677,RSPv,M677_080_RSPv.tif,51010174,2784000,1760400
p12,M677,RSPv,M677_081_RSPv.tif,86387855,2919200,1768800
p12,M677,RSPv,M677_082_RSPv.tif,159370495,2953800,1779140
p12,M677,RSPv,M677_083_RSPv.tif,63378012,2900040,1810000
p12,M677,RSPv,M677_084_RSPv.tif,105926880,3828000,2231200
p12,M677,RSPv,M677_085_RSPv.tif,122508639,4688720,2885600
p12,M677,RSPv,M677_086_RSPv.tif,105878851,4928220,3029880
p12,M677,RSPv,M677_087_RSPv.tif,261693472,6585600,4361600
p12,M677,RSPv,M677_088_RSPv.tif,122509133,4750000,2204400
p12,M677,RSPv,M677_090_RSPv.tif,96386279,7608480,4453520
p12,M677,RSPv,M677_091_RSPv.tif,89618799,6763520,4292640
p12,M677,RSPv,M677_092_RSPv.tif,69557240,7216140,3847720
p12,M677,RSPv,M677_093_RSPv.tif,45237076,4922159,3101660
p12,M677,RSPv,M677_094_RSPv.tif,91037879,6611760,3583120
p12,M677,RSPv,M677_095_RSPv.tif,44212695,4899600,2947440
p12,M677,RSPv,M677_096_RSPv.tif,42369927,4651320,2738560
p12,M677,RSPv,M677_097_RSPv.tif,47926531,4077980,1512520
p12,M677,RSPv,M677_098_RSPv.tif,31537210,4026520,1867740
p12,M677,RSPv,M677_099_RSPv.tif,79185468,5738820,2183980
p12,M677,RSPv,M677_100_RSPv.tif,34975933,5437800,1815320
p12,M677,RSPv,M677_101_RSPv.tif,4495245,744620,298340
p12,M677,VISa,M677_070_VISa.tif,15775185,1227200,505600
p12,M677,VISa,M677_071_VISa.tif,63237545,2898000,1334400
p12,M677,VISa,M677_072_VISa.tif,86584866,4112400,2017600
p12,M677,VISa,M677_073_VISa.tif,126002032,4030400,2334180
p12,M677,VISa,M677_074_VISa.tif,151398862,3492720,2285400
p12,M677,VISa,M677_075_VISa.tif,72123971,3336800,2044000
p12,M677,VISa,M677_076_VISa.tif,131111339,3714360,2340440
p12,M677,VISa,M677_077_VISa.tif,345837851,4850400,2903600
p12,M677,VISa,M677_078_VISa.tif,88270221,3806440,2246400
p12,M677,VISa,M677_079_VISa.tif,34099995,1188180,601100
p12,M677,VISa,M677_080_VISa.tif,18188097,2576680,927900
p12,M677,VISal,M677_084_VISal.tif,23093632,878400,402400
p12,M677,VISal,M677_085_VISal.tif,42381266,1579200,752400
p12,M677,VISal,M677_086_VISal.tif,60827157,2089800,1052580
p12,M677,VISal,M677_087_VISal.tif,51919948,2816000,1420800
p12,M677,VISal,M677_088_VISal.tif,73659640,3017600,1538800
p12,M677,VISal,M677_089_VISal.tif,52462786,3453200,1799200
p12,M677,VISal,M677_090_VISal.tif,49461139,3918200,1950980
p12,M677,VISal,M677_091_VISal.tif,46685985,3765440,1805740
p12,M677,VISal,M677_092_VISal.tif,39974607,3326400,1915200
p12,M677,VISal,M677_093_VISal.tif,60535373,3616659,2080480
p12,M677,VISam,M677_075_VISam.tif,10411194,560000,292400
p12,M677,VISam,M677_076_VISam.tif,41641822,1279760,651260
p12,M677,VISam,M677_077_VISam.tif,81192007,2006400,834400
p12,M677,VISam,M677_078_VISam.tif,27413084,1460480,846400
p12,M677,VISam,M677_079_VISam.tif,99442109,2133060,1403860
p12,M677,VISam,M677_080_VISam.tif,30974412,2462400,1674000
p12,M677,VISam,M677_081_VISam.tif,43611463,1652000,1199200
p12,M677,VISam,M677_082_VISam.tif,29733055,1057320,626820
p12,M677,VISam,M677_083_VISam.tif,37941126,1489200,1165600
p12,M677,VISam,M677_084_VISam.tif,45920681,1324800,1018000
p12,M677,VISam,M677_086_VISam.tif,70014515,1334800,780000
p12,M677,VISam,M677_087_VISam.tif,14563304,569840,442280
p12,M677,VISl,M677_093_VISl.tif,8331601,867300,414680
p12,M677,VISl,M677_094_VISl.tif,67922811,2875600,1427600
p12,M677,VISl,M677_095_VISl.tif,16832921,2494320,1215640
p12,M677,VISl,M677_096_VISl.tif,26501647,2958560,1509120
p12,M677,VISl,M677_098_VISl.tif,1225985,621600,33600
p12,M677,VISl,M677_099_VISl.tif,29907,1462800,1600
p12,M677,VISl,M677_100_VISl.tif,45762658,3227520,1618000
p12,M677,VISl,M677_101_VISl.tif,28489971,2128000,949600
p12,M677,VISli,M677_094_VISli.tif,25789190,1894400,701200
p12,M677,VISli,M677_095_VISli.tif,8537976,1665280,602760
p12,M677,VISli,M677_096_VISli.tif,10796232,1823740,668260
p12,M677,VISli,M677_097_VISli.tif,18583847,2249600,824400
p12,M677,VISli,M677_098_VISli.tif,34998503,2449200,978140
p12,M677,VISli,M677_099_VISli.tif,17355554,1876000,542400
p12,M677,VISli,M677_100_VISli.tif,24711266,2721700,860340
p12,M677,VISli,M677_101_VISli.tif,23269932,1681200,749380
p12,M677,VISp,M677_082_VISp.tif,284994807,7878480,4715460
p12,M677,VISp,M677_083_VISp.tif,171436346,6885441,4783860
p12,M677,VISp,M677_084_VISp.tif,384671272,7259840,4763180
p12,M677,VISp,M677_085_VISp.tif,365561543,8702742,6754131
p12,M677,VISp,M677_086_VISp.tif,662916904,8285940,5815460
p12,M677,VISp,M677_087_VISp.tif,162092542,7344960,5089840
p12,M677,VISp,M677_088_VISp.tif,728248801,9324840,6090360
p12,M677,VISp,M677_089_VISp.tif,59747007,3494100,2073160
p12,M677,VISp,M677_090_VISp.tif,80271706,5346640,3396080
p12,M677,VISp,M677_091_VISp.tif,128233087,8251320,5268660
p12,M677,VISp,M677_092_VISp.tif,105274821,8942920,5542760
p12,M677,VISp,M677_093_VISp.tif,149958373,7483840,4375360
p12,M677,VISp,M677_094_VISp.tif,327191022,8140520,4979000
p12,M677,VISp,M677_095_VISp.tif,44990420,4773000,3286080
p12,M677,VISp,M677_096_VISp.tif,85342655,6974100,5021460
p12,M677,VISp,M677_097_VISp.tif,154878919,11061640,6506580
p12,M677,VISp,M677_098_VISp.tif,152781839,9414920,6358940
p12,M677,VISp,M677_099_VISp.tif,174363485,10322580,5655100
p12,M677,VISp,M677_100_VISp.tif,146914218,10844780,5968420
p12,M677,VISp,M677_101_VISp.tif,170725633,14415680,6959460
p12,M677,VISpm,M677_085_VISpm.tif,51743361,1622400,1045600
p12,M677,VISpm,M677_087_VISpm.tif,6351498,408000,194400
p12,M677,VISpm,M677_088_VISpm.tif,909736,144400,101200
p12,M677,VISpm,M677_090_VISpm.tif,46758863,2456800,2026400
p12,M677,VISpm,M677_091_VISpm.tif,26579007,1672800,1281600
p12,M677,VISpm,M677_092_VISpm.tif,15354103,1171940,824940
p12,M677,VISpm,M677_093_VISpm.tif,34947110,1795380,1063980
p12,M677,VISpm,M677_094_VISpm.tif,33937528,933660,681660
p12,M677,VISpm,M677_095_VISpm.tif,12247184,1156400,802800
p12,M677,VISpm,M677_096_VISpm.tif,13127562,1133980,822340
p12,M677,VISpm,M677_097_VISpm.tif,14671949,742000,370400
p12,M677,VISpm,M677_098_VISpm.tif,8684754,854000,465600
p12,M677,VISpm,M677_099_VISpm.tif,16203209,912000,495200
p12,M677,VISpm,M677_100_VISpm.tif,10746017,870400,512000
p12,M677,VISpm,M677_101_VISpm.tif,19093833,2216760,799700
p12,M677,VISpor,M677_100_VISpor.tif,4641215,761000,206580
p12,M677,VISpor,M677_101_VISpor.tif,17811877,1661660,786920
p12,M677,VISrl,M677_077_VISrl.tif,69266313,2161500,585580
p12,M677,VISrl,M677_078_VISrl.tif,13995,400,400
p12,M677,VISrl,M677_080_VISrl.tif,20812475,1971200,950000
p12,M677,VISrl,M677_081_VISrl.tif,28910424,1902120,728740
p12,M677,VISrl,M677_082_VISrl.tif,16924,400,400
p12,M677,VISrl,M677_083_VISrl.tif,39597652,2157861,920481
p12,M677,VISrl,M677_084_VISrl.tif,120520858,3532740,1993180
p12,M677,VISrl,M677_085_VISrl.tif,48499362,1836000,884800
p12,M677,VISrl,M677_086_VISrl.tif,35572947,1440000,504000
p12,M677,VISrl,M677_087_VISrl.tif,30782586,2020820,873060
p12,M677,VISrl,M677_088_VISrl.tif,74380045,2031960,1059460
p12,M677,VISrl,M677_089_VISrl.tif,18864637,1516800,659200
p12,M677,VISrl,M677_090_VISrl.tif,11996440,1247920,395060
p12,M678,RSPagl,M678_s057_RSPagl.tif,20615580,1296000,1033600
p12,M678,RSPagl,M678_s058_RSPagl.tif,30713126,1182440,972000
p12,M678,RSPagl,M678_s059_RSPagl.tif,37529731,1489860,1142380
p12,M678,RSPagl,M678_s060_RSPagl.tif,16730616,1545600,1147600
p12,M678,RSPagl,M678_s061_RSPagl.tif,23056438,1354580,1098460
p12,M678,RSPagl,M678_s062_RSPagl.tif,30703875,1437540,1035200
p12,M678,RSPagl,M678_s063_RSPagl.tif,26233222,1444000,1091600
p12,M678,RSPagl,M678_s064_RSPagl.tif,24465635,1358000,1055600
p12,M678,RSPagl,M678_s065_RSPagl.tif,27783335,1292000,1004000
p12,M678,RSPagl,M678_s066_RSPagl.tif,28648003,1260000,975600
p12,M678,RSPagl,M678_s068_RSPagl.tif,40108055,1579200,1031200
p12,M678,RSPagl,M678_s069_RSPagl.tif,54115291,1636800,1124000
p12,M678,RSPagl,M678_s070_RSPagl.tif,31447912,1584000,1124400
p12,M678,RSPagl,M678_s071_RSPagl.tif,41706930,1276800,885200
p12,M678,RSPagl,M678_s072_RSPagl.tif,45966149,1674000,1058400
p12,M678,RSPagl,M678_s074_RSPagl.tif,41447855,2059200,1055600
p12,M678,RSPagl,M678_s075_RSPagl.tif,18889544,1978800,960400
p12,M678,RSPagl,M678_s076_RSPagl.tif,36510734,2111200,932400
p12,M678,RSPagl,M678_s077_RSPagl.tif,53691063,1801360,923840
p12,M678,RSPagl,M678_s078_RSPagl.tif,17709929,1711500,822640
p12,M678,RSPagl,M678_s079_RSPagl.tif,20609341,2146420,941960
p12,M678,RSPagl,M678_s080_RSPagl.tif,19623452,1958000,790400
p12,M678,RSPagl,M678_s082_RSPagl.tif,20463290,2173380,1060860
p12,M678,RSPagl,M678_s083_RSPagl.tif,65296863,4395600,1246000
p12,M678,RSPagl,M678_s084_RSPagl.tif,29920764,3868040,964480
p12,M678,RSPagl,M678_s085_RSPagl.tif,13106958,4326960,877240
p12,M678,RSPagl,M678_s086_RSPagl.tif,52603854,2029600,790800
p12,M678,RSPd,M678_s057_RSPd.tif,56179864,3168000,1975600
p12,M678,RSPd,M678_s058_RSPd.tif,61633984,2890140,1728780
p12,M678,RSPd,M678_s059_RSPd.tif,102886577,3461040,2225780
p12,M678,RSPd,M678_s060_RSPd.tif,51462259,3532620,2237720
p12,M678,RSPd,M678_s061_RSPd.tif,48719894,3230000,2010800
p12,M678,RSPd,M678_s062_RSPd.tif,97233672,3093040,1937300
p12,M678,RSPd,M678_s063_RSPd.tif,54364231,3134580,1937980
p12,M678,RSPd,M678_s064_RSPd.tif,59573605,3314220,2002120
p12,M678,RSPd,M678_s065_RSPd.tif,91508337,3169760,1908060
p12,M678,RSPd,M678_s066_RSPd.tif,53462024,3092880,1884240
p12,M678,RSPd,M678_s068_RSPd.tif,91426117,3163700,1812100
p12,M678,RSPd,M678_s069_RSPd.tif,123958434,3640000,2056800
p12,M678,RSPd,M678_s070_RSPd.tif,54622026,3655740,2056900
p12,M678,RSPd,M678_s071_RSPd.tif,103883610,3205780,1798200
p12,M678,RSPd,M678_s072_RSPd.tif,97913450,3765540,1908400
