age,identifier,region,image_filename,raw_intensity_sum,masked_gauss_intensity_sum,total_image_pixels,tissue_area_pixels
p12,M677,RSPd,M677_098_RSPd.tif,20376252,602616.5375161504,2955020,1208960
p12,M677,RSPd,M677_099_RSPd.tif,61148734,1631912.8788217965,4057560,1467080
p12,M677,RSPd,M677_100_RSPd.tif,40268224,865702.9939393894,5685960,1715180
p12,M677,RSPd,M677_101_RSPd.tif,30980026,994911.9146348865,6964640,1646660
p12,M677,RSPv,M677_062_RSPv.tif,51312515,1686290.0720386826,2158000,1405600
p12,M677,RSPv,M677_063_RSPv.tif,147429220,6960817.073571634,2622620,1763300
p12,M677,RSPv,M677_064_RSPv.tif,269973808,7265472.431813153,6123260,3206400
p12,M677,RSPv,M677_065_RSPv.tif,119988346,3763838.0090896715,2921460,1894940
p12,M677,RSPv,M677_066_RSPv.tif,68628126,1853788.7843135262,2633880,1564180
p12,M677,RSPv,M677_068_RSPv.tif,52537086,1951919.1575606586,2502400,1399600
p12,M677,RSPv,M677_070_RSPv.tif,46229101,1109037.4278549117,3040000,1799600
p12,M677,RSPv,M677_071_RSPv.tif,83638385,1752352.0897141434,2782400,1648000
p12,M677,RSPv,M677_072_RSPv.tif,69088005,1299633.7275173396,2782400,1554000
p12,M677,RSPv,M677_073_RSPv.tif,80164092,2292354.2145552235,2848000,1706000
p12,M677,RSPv,M677_074_RSPv.tif,93016718,4532870.967991914,2901600,1740800
p12,M677,RSPv,M677_075_RSPv.tif,53194867,1093287.7698308115,2496000,1416400
p12,M677,RSPv,M677_076_RSPv.tif,194634524,7967647.651860052,2434780,1545740
p12,M677,RSPv,M677_077_RSPv.tif,117783070,4467556.041416418,2620800,1601200
p12,M677,RSPv,M677_078_RSPv.tif,55916272,1018998.1711922361,2855340,1731920
p12,M677,RSPv,M677_079_RSPv.tif,169087506,5698223.112589649,2945840,1808200
p12,M677,RSPv,M677_080_RSPv.tif,51010174,2017886.1651809504,2784000,1760400
p12,M677,RSPv,M677_081_RSPv.tif,86387855,2171732.9337841375,2919200,1768800
p12,M677,RSPv,M677_082_RSPv.tif,159370495,3013693.956735308,2953800,1779140
p12,M677,RSPv,M677_083_RSPv.tif,63378012,943102.1705426368,2900040,1810000
p12,M677,RSPv,M677_084_RSPv.tif,105926880,4687144.044487593,3828000,2231200
p12,M677,RSPv,M677_085_RSPv.tif,122508639,4189456.600653258,4688720,2885600
p12,M677,RSPv,M677_086_RSPv.tif,105878851,3118751.820294312,4928220,3029880
p12,M677,RSPv,M677_087_RSPv.tif,261693472,7016667.388450485,6585600,4361600
p12,M677,RSPv,M677_088_RSPv.tif,122509133,1632582.455134315,4750000,2204400
p12,M677,RSPv,M677_090_RSPv.tif,96386279,2169195.9874623464,7608480,4453520
p12,M677,RSPv,M677_091_RSPv.tif,89618799,1328274.274677002,6763520,4292640
p12,M677,RSPv,M677_092_RSPv.tif,69557240,1745353.548828112,7216140,3847720
p12,M677,RSPv,M677_093_RSPv.tif,45237076,805363.3529755624,4922159,3101660
