age,identifier,region,percent_total
p12,M677,VISpl,0.0
p12,M678,VISpl,0.0
p12,M704,VISpl,0.0
p12,M705,VISpl,0.0
p12,M711,VISpl,0.0
p12,M758,VISpl,0.0
p20,M648,VISpl,0.0
p20,M649,VISpl,0.0
p20,M712,VISpl,0.0
p20,M715,VISpl,0.0
adult,M762,VISpl,0.0
adult,M763,VISpl,0.0
adult,M764,VISpl,0.0
adult,M773,VISpl,0.0
adult,M776,VISpl,0.0
p3,M729,VISpor,2.0873
p3,M730,VISpor,0.7929
p3,M789,VISpor,1.9259
p3,M795,VISpor,0.5036
p3,M796,VISpor,10.2564
p12,M677,VISpor,1.1102
p12,M678,VISpor,1.2882
p12,M704,VISpor,12.3503
p12,M705,VISpor,4.8104
p12,M711,VISpor,2.8673
p12,M758,VISpor,6.7432
p20,M648,VISpor,2.8017
p20,M649,VISpor,0.0
p20,M712,VISpor,3.7983
p20,M715,VISpor,15.9316
adult,M762,VISpor,1.9977
adult,M763,VISpor,7.7689
adult,M764,VISpor,10.28
adult,M773,VISpor,9.5309
adult,M776,VISpor,2.2856
