age,identifier,region,image_count,raw_intensity_sum,masked_gauss_intensity_sum,total_image_pixels,tissue_area_pixels
p20,M712,RSPagl,38,667802542,20922878.46676496,57390980,32723040
p20,M712,RSPd,38,1342087483,37270998.552271284,111055440,56931700
p20,M712,RSPv,38,1546137486,47490309.31854448,149484117,84338399
p20,M712,VISa,12,200969591,4837390.03771892,21092840,11287080
p20,M712,VISal,11,155049879,6081491.938184941,24494160,11505820
p20,M712,VISam,14,237936599,6243479.950934375,29220460,18567040
p20,M712,VISl,8,176162242,3160175.2640476464,21785820,10399300
p20,M712,VISli,7,78473459,1974718.7724067392,10981720,4825100
p20,M712,VISp,23,1629561381,50682381.873674236,209503579,111022039
p20,M712,VISpm,19,105830240,3031409.2969570654,18365340,7647520
p20,M712,VISpor,3,70321966,2238359.60745027,9837540,4702840
p20,M712,VISrl,15,225570850,8026525.115048072,39306277,17586558
p3,M729,RSPagl,32,1165301490,38022340.45137727,61763219,22999032
p3,M729,RSPd,32,2140669785,60445838.18779218,84949614,41103454
p3,M729,RSPv,26,1671901468,48512842.56693315,70589050,39718151
p3,M729,VISa,8,831433945,21917197.524665955,26740050,15251940
p3,M729,VISal,9,241947754,8879156.471879225,14024120,7073160
p3,M729,VISam,9,240477076,8849131.906611243,12222810,6922990
p3,M729,VISl,15,517725879,19504869.688234277,22779543,11186761
p3,M729,VISli,13,182466563,7052086.057414249,11008780,4714180
p3,M729,VISp,23,3536000483,114504499.72934984,151472041,75867429
p3,M729,VISpl,3,91826650,2071163.3563459099,3007259,1038640
p3,M729,VISpm,20,552737806,18069721.058571585,22264240,13977400
p3,M729,VISpor,10,317229014,10591004.838980023,14337287,6431368
p3,M729,VISrl,13,346764891,13153730.455900159,19382810,9077870
p3,M730,RSPagl,35,1468014927,39361183.92196801,40710561,18534600
p3,M730,RSPd,35,2800678563,71594153.69500811,85304501,35905741
p3,M730,RSPv,34,3471386659,93175554.40148413,108958120,54070180
p3,M730,VISa,8,664181682,17219944.499002635,14863420,8182720
p3,M730,VISal,10,406479635,12075163.048322499,10822980,5242900
p3,M730,VISam,7,271385980,6049081.5905104745,5064240,3635480
p3,M730,VISl,15,786294562,25816810.12376146,22593099,11827219
p3,M730,VISli,14,380100659,11932798.255265087,11768577,5668119
p3,M730,VISp,26,6044933494,170956087.2826824,194116462,82926698
p3,M730,VISpm,20,869257224,21492692.21966246,18451020,11620280
p3,M730,VISpor,4,92812496,2702704.9067392442,2665840,1520260
p3,M730,VISrl,11,196557893,5200269.983053183,9624240,3039940
p60,M762,RSPagl,42,790644306,17004919.511385426,96783000,40472680
p60,M762,RSPd,43,1534982513,31708731.104327448,159040060,71565520
p60,M762,RSPv,37,1702668767,31670887.391518563,158906840,78988840
p60,M762,VISa,11,308864264,8132429.158202974,23053560,13409660
p60,M762,VISal,13,218359755,11526764.805024033,26123860,12815340
p60,M762,VISam,13,204082578,8792680.82408072,14706660,10167820
p60,M762,VISl,16,340740228,14861602.970630778,35184720,18715760
p60,M762,VISli,12,150708996,9155704.415275268,16393840,7908940
p60,M762,VISp,29,2946589813,172306929.7651672,274497660,142466181
p60,M762,VISpl,7,157517525,2981684.9314191574,19128658,6685132
p60,M762,VISpm,20,237471162,13858144.736661222,24314380,11662540
p60,M762,VISpor,13,311416674,9015846.251279663,30508980,16645280
p60,M762,VISrl,17,534137695,34020942.97461218,55570480,29664600
p60,M763,RSPagl,45,962996001,28659971.226499125,142931823,50271361
p60,M763,RSPd,45,1813075922,51068641.208502896,223329761,89149161
p60,M763,RSPv,39,1636515817,34015696.715445496,151483477,74684918
p60,M763,VISa,13,407181955,8330133.123115326,36530940,20709600
p60,M763,VISal,5,81749157,2821538.9429582637,8124680,4248600
p60,M763,VISam,11,157939570,7645239.428093833,12158660,8146000
p60,M763,VISl,21,640109384,32742613.801312532,64821979,32699539
p60,M763,VISli,18,286583928,14019832.642438017,34206997,15539759
p60,M763,VISp,28,3330490799,163587542.72573116,360795704,170906661
p60,M763,VISpl,7,224915456,8043753.023498621,28825821,10474080
p60,M763,VISpm,22,223858007,10749089.10778678,22373140,12286840
p60,M763,VISpor,18,459534934,21820974.89856728,52337017,25593098
p60,M763,VISrl,11,209235420,5593553.151071539,23449540,11606560
p60,M773,RSPagl,27,539330805,13096850.532237036,53643073,22536139
p60,M773,RSPd,26,1001229671,26496754.180970944,89127573,40944139
p60,M773,RSPv,22,1075131696,22961703.739936713,79968280,47602680
p60,M773,VISa,8,259167492,5456825.578353127,21787860,11453260
p60,M773,VISal,5,99015001,5421529.000606976,9179100,4461520
p60,M773,VISam,10,157685941,6833763.902647606,15371280,7620980
p60,M773,VISl,10,181961242,6679865.448036848,20488658,9395580
p60,M773,VISli,8,76950022,4103024.200045369,9328980,3891000
p60,M773,VISp,20,1500144298,71500885.90769237,125882265,65610174
p60,M773,VISpl,5,151968061,4379734.4767282475,12994278,5772360
p60,M773,VISpm,12,100903946,3644924.145862642,9962900,4803280
p60,M773,VISpor,7,204458026,9654569.224969301,19002816,9756098
p60,M773,VISrl,9,182539344,7528968.48549011,19056000,8660000
p60,M776,RSPagl,27,477802078,19490924.56241393,52375636,21118720
p60,M776,RSPd,27,875294920,36003221.23108603,87814246,37953959
p60,M776,RSPv,23,908209416,28960810.889382478,78375240,42587180
p60,M776,VISa,8,269331624,10219352.462627487,23393900,11803940
p60,M776,VISal,4,108674768,9966739.616250867,7875180,3934240
p60,M776,VISam,7,157820957,9229486.27506681,10704680,5868740
p60,M776,VISl,14,351836941,20981454.757487446,29215779,14937300
p60,M776,VISli,10,156442214,13971513.961700216,13765520,5839200
p60,M776,VISp,21,2177464309,103946981.95452726,160840361,80391698
p60,M776,VISpl,4,79596419,1508784.7816685385,9714099,2731100
p60,M776,VISpm,13,144893938,3954401.074430695,10480160,6366560
p60,M776,VISpor,8,194610029,8048737.892019891,17854019,9205439
p60,M776,VISrl,8,252058725,14907945.365734762,18337420,9150420
