age,identifier,region,image_filename,raw_intensity_sum,dist_weighted_intensity_sum,total_image_pixels,tissue_area_pixels
p12,M677,RSPd,M677_098_RSPd.tif,20376252,6936499.238150958,2955020,1208960
p12,M677,RSPd,M677_099_RSPd.tif,61148734,21717146.918434873,4057560,1467080
p12,M677,RSPd,M677_100_RSPd.tif,40268224,14408890.787837408,5685960,1715180
p12,M677,RSPd,M677_101_RSPd.tif,30980026,10717347.219900591,6964640,1646660
p12,M677,RSPv,M677_062_RSPv.tif,51312515,17765879.100991506,2158000,1405600
p12,M677,RSPv,M677_063_RSPv.tif,147429220,48836586.09699178,2622620,1763300
p12,M677,RSPv,M677_064_RSPv.tif,269973808,90321176.45060962,6123260,3206400
p12,M677,RSPv,M677_065_RSPv.tif,119988346,40726829.75677727,2921460,1894940
p12,M677,RSPv,M677_066_RSPv.tif,68628126,23117468.99968154,2633880,1564180
p12,M677,RSPv,M677_068_RSPv.tif,52537086,17643311.053783953,2502400,1399600
p12,M677,RSPv,M677_070_RSPv.tif,46229101,15283536.66202994,3040000,1799600
p12,M677,RSPv,M677_071_RSPv.tif,83638385,27938972.331915505,2782400,1648000
p12,M677,RSPv,M677_072_RSPv.tif,69088005,23003183.376329068,2782400,1554000
p12,M677,RSPv,M677_073_RSPv.tif,80164092,26950122.076579988,2848000,1706000
p12,M677,RSPv,M677_074_RSPv.tif,93016718,32520325.29333444,2901600,1740800
p12,M677,RSPv,M677_075_RSPv.tif,53194867,17652206.30371082,2496000,1416400
p12,M677,RSPv,M677_076_RSPv.tif,194634524,63990531.20972418,2434780,1545740
p12,M677,RSPv,M677_077_RSPv.tif,117783070,40340790.58651908,2620800,1601200
p12,M677,RSPv,M677_078_RSPv.tif,55916272,18664513.20236468,2855340,1731920
p12,M677,RSPv,M677_079_RSPv.tif,169087506,56036325.65627683,2945840,1808200
p12,M677,RSPv,M677_080_RSPv.tif,51010174,18110920.61444366,2784000,1760400
p12,M677,RSPv,M677_081_RSPv.tif,86387855,29573222.066397365,2919200,1768800
p12,M677,RSPv,M677_082_RSPv.tif,159370495,54535300.00922246,2953800,1779140
p12,M677,RSPv,M677_083_RSPv.tif,63378012,21022523.268051546,2900040,1810000
p12,M677,RSPv,M677_084_RSPv.tif,105926880,38367305.14888484,3828000,2231200
p12,M677,RSPv,M677_085_RSPv.tif,122508639,41243673.89971501,4688720,2885600
p12,M677,RSPv,M677_086_RSPv.tif,105878851,35615825.45325876,4928220,3029880
p12,M677,RSPv,M677_087_RSPv.tif,261693472,88925071.87209454,6585600,4361600
p12,M677,RSPv,M677_088_RSPv.tif,122509133,43015971.021710865,4750000,2204400
p12,M677,RSPv,M677_090_RSPv.tif,96386279,31700604.752838135,7608480,4453520
p12,M677,RSPv,M677_091_RSPv.tif,89618799,28927260.117749292,6763520,4292640
p12,M677,RSPv,M677_092_RSPv.tif,69557240,22999247.514095567,7216140,3847720
p12,M677,RSPv,M677_093_RSPv.tif,45237076,14792001.891214104,4922159,3101660
p12,M677,RSPv,M677_094_RSPv.tif,91037879,30372823.216208465,6611760,3583120
p12,M677,RSPv,M677_095_RSPv.tif,44212695,13831233.0745836,4899600,2947440
p12,M677,RSPv,M677_096_RSPv.tif,42369927,13104359.77236187,4651320,2738560
p12,M677,RSPv,M677_097_RSPv.tif,47926531,15212633.835104652,4077980,1512520
p12,M677,RSPv,M677_098_RSPv.tif,31537210,9820789.413074572,4026520,1867740
p12,M677,RSPv,M677_099_RSPv.tif,79185468,25907868.483402442,5738820,2183980
p12,M677,RSPv,M677_100_RSPv.tif,34975933,11413099.805722397,5437800,1815320
p12,M677,RSPv,M677_101_RSPv.tif,4495245,1578689.7366182685,744620,298340
p12,M677,VISa,M677_070_VISa.tif,15775185,5697614.606517,1227200,505600
p12,M677,VISa,M677_071_VISa.tif,63237545,21654052.206837617,2898000,1334400
p12,M677,VISa,M677_072_VISa.tif,86584866,29237663.69126717,4112400,2017600
p12,M677,VISa,M677_073_VISa.tif,126002032,42233587.4137918,4030400,2334180
p12,M677,VISa,M677_074_VISa.tif,151398862,50566810.86161851,3492720,2285400
p12,M677,VISa,M677_075_VISa.tif,72123971,23818229.240233425,3336800,2044000
p12,M677,VISa,M677_076_VISa.tif,131111339,44109873.03265194,3714360,2340440
p12,M677,VISa,M677_077_VISa.tif,345837851,114341583.03012674,4850400,2903600
p12,M677,VISa,M677_078_VISa.tif,88270221,29938175.92357075,3806440,2246400
p12,M677,VISa,M677_079_VISa.tif,34099995,12094251.013648968,1188180,601100
p12,M677,VISa,M677_080_VISa.tif,18188097,6095218.307389538,2576680,927900
p12,M677,VISal,M677_084_VISal.tif,23093632,7483488.188366529,878400,402400
p12,M677,VISal,M677_085_VISal.tif,42381266,13030440.489211328,1579200,752400
p12,M677,VISal,M677_086_VISal.tif,60827157,19810878.95090987,2089800,1052580
p12,M677,VISal,M677_087_VISal.tif,51919948,17617744.283242643,2816000,1420800
p12,M677,VISal,M677_088_VISal.tif,73659640,24747943.177808404,3017600,1538800
p12,M677,VISal,M677_089_VISal.tif,52462786,17685888.159794003,3453200,1799200
p12,M677,VISal,M677_090_VISal.tif,49461139,16819710.41478561,3918200,1950980
p12,M677,VISal,M677_091_VISal.tif,46685985,15375495.997559458,3765440,1805740
p12,M677,VISal,M677_092_VISal.tif,39974607,13642483.656259518,3326400,1915200
p12,M677,VISal,M677_093_VISal.tif,60535373,20558447.860074654,3616659,2080480
p12,M677,VISam,M677_075_VISam.tif,10411194,3643977.8448128374,560000,292400
p12,M677,VISam,M677_076_VISam.tif,41641822,13188982.633704657,1279760,651260
p12,M677,VISam,M677_077_VISam.tif,81192007,26520417.42559874,2006400,834400
p12,M677,VISam,M677_078_VISam.tif,27413084,8826466.563665312,1460480,846400
p12,M677,VISam,M677_079_VISam.tif,99442109,32968697.492852066,2133060,1403860
p12,M677,VISam,M677_080_VISam.tif,30974412,10321941.608425193,2462400,1674000
p12,M677,VISam,M677_081_VISam.tif,43611463,13905532.430731924,1652000,1199200
p12,M677,VISam,M677_082_VISam.tif,29733055,9627453.346885568,1057320,626820
p12,M677,VISam,M677_083_VISam.tif,37941126,12078709.906196164,1489200,1165600
p12,M677,VISam,M677_084_VISam.tif,45920681,15107870.56242096,1324800,1018000
p12,M677,VISam,M677_086_VISam.tif,70014515,21990806.82740375,1334800,780000
p12,M677,VISam,M677_087_VISam.tif,14563304,4414675.341560819,569840,442280
p12,M677,VISl,M677_093_VISl.tif,8331601,2922430.698719046,867300,414680
p12,M677,VISl,M677_094_VISl.tif,67922811,22410941.791282304,2875600,1427600
p12,M677,VISl,M677_095_VISl.tif,16832921,5316725.472146325,2494320,1215640
p12,M677,VISl,M677_096_VISl.tif,26501647,8382034.879230882,2958560,1509120
p12,M677,VISl,M677_098_VISl.tif,1225985,534397.6269780861,621600,33600
p12,M677,VISl,M677_099_VISl.tif,29907,13495.911669923204,1462800,1600
p12,M677,VISl,M677_100_VISl.tif,45762658,14394178.45841218,3227520,1618000
p12,M677,VISl,M677_101_VISl.tif,28489971,8982243.219401259,2128000,949600
p12,M677,VISli,M677_094_VISli.tif,25789190,7877876.276078142,1894400,701200
p12,M677,VISli,M677_095_VISli.tif,8537976,2533500.2386446847,1665280,602760
p12,M677,VISli,M677_096_VISli.tif,10796232,3346635.5378438523,1823740,668260
p12,M677,VISli,M677_097_VISli.tif,18583847,5942381.275862178,2249600,824400
p12,M677,VISli,M677_098_VISli.tif,34998503,11472056.580992429,2449200,978140
p12,M677,VISli,M677_099_VISli.tif,17355554,5605346.578058602,1876000,542400
p12,M677,VISli,M677_100_VISli.tif,24711266,7685804.575160059,2721700,860340
p12,M677,VISli,M677_101_VISli.tif,23269932,7457870.932970514,1681200,749380
p12,M677,VISp,M677_082_VISp.tif,284994807,82803479.98647489,7878480,4715460
p12,M677,VISp,M677_083_VISp.tif,171436346,53012566.952718474,6885441,4783860
p12,M677,VISp,M677_084_VISp.tif,384671272,116617314.77946268,7259840,4763180
p12,M677,VISp,M677_085_VISp.tif,365561543,113036159.96177936,8702742,6754131
p12,M677,VISp,M677_086_VISp.tif,662916904,198866540.37860593,8285940,5815460
p12,M677,VISp,M677_087_VISp.tif,162092542,50030472.08593193,7344960,5089840
p12,M677,VISp,M677_088_VISp.tif,728248801,221860561.5056083,9324840,6090360
p12,M677,VISp,M677_089_VISp.tif,59747007,19684355.931695554,3494100,2073160
p12,M677,VISp,M677_090_VISp.tif,80271706,25507505.451038264,5346640,3396080
p12,M677,VISp,M677_091_VISp.tif,128233087,39324360.06386341,8251320,5268660
p12,M677,VISp,M677_092_VISp.tif,105274821,32469332.417845473,8942920,5542760
p12,M677,VISp,M677_093_VISp.tif,149958373,50489959.358158536,7483840,4375360
p12,M677,VISp,M677_094_VISp.tif,327191022,99917918.3324265,8140520,4979000
