age,identifier,region,image_count,raw_intensity_sum,masked_median_intensity_sum,total_image_pixels,tissue_area_pixels
p12,M705,VISli,17,159930177,4661210.0,23953320,10841620
p12,M705,VISp,28,1876080017,54377064.0,236799160,112747460
p12,M705,VISpm,25,291284328,6088419.0,31052740,16756080
p12,M705,VISpor,7,75193081,4314114.0,10934720,5023400
p12,M705,VISrl,20,459228434,9842935.0,47236060,20195980
p12,M711,RSPagl,36,651983823,22878953.0,56080656,25904899
p12,M711,RSPd,36,1294608233,42987733.0,99185444,46735499
p12,M711,RSPv,30,1567181334,33497842.0,117464238,65122619
p12,M711,VISa,7,128452305,4430233.0,12891420,6591640
p12,M711,VISal,10,338429077,8606908.0,35123860,16356640
p12,M711,VISam,7,142320366,8198826.0,11131180,6988158
p12,M711,VISl,20,451156119,11159334.0,42008959,19641059
p12,M711,VISli,13,148889063,6866703.0,17791180,6885540
p12,M711,VISp,29,2256679408,64669117.0,172425750,92952116
p12,M711,VISpl,6,169125164,3615898.0,12222694,4853998
p12,M711,VISpm,18,321717738,15041754.0,25928560,14315980
p12,M711,VISpor,9,328923107,7754072.0,22108078,12006298
p12,M711,VISrl,9,173207263,3176567.0,22961100,9521820
p12,M758,RSPagl,54,1154245158,29042455.0,125749021,44955200
p12,M758,RSPd,55,1924400795,53757299.0,199297303,78808901
p12,M758,RSPv,46,1909002652,46666138.0,191453462,87584261
p12,M758,VISa,11,558854810,10754492.0,33351480,18418440
p12,M758,VISal,8,192461095,3759107.0,21471320,9830740
p12,M758,VISam,8,119282426,4244491.0,8971960,6264920
p12,M758,VISl,29,753405439,19573115.0,75412060,39277280
p12,M758,VISli,23,333168406,7012750.0,41270682,18333800
p12,M758,VISp,41,3984304673,119644590.0,375875288,192186546
p12,M758,VISpl,9,510683383,9959993.0,34169262,11722299
p12,M758,VISpm,32,507259421,18342778.0,37302080,24424580
p12,M758,VISpor,23,581753611,11804292.0,49060098,25211060
p12,M758,VISrl,9,134883945,2136796.0,29904962,7225061
p20,M648,RSPagl,26,917827499,15903688.0,43012200,28990000
p20,M648,RSPd,26,1894755040,34008817.0,87172140,51547740
p20,M648,RSPv,26,1877771268,32495801.0,106362535,62817816
p20,M648,VISa,19,1628437547,27720701.0,92240679,51068259
p20,M648,VISal,9,342109731,7209821.0,26546739,13656739
p20,M648,VISam,17,671053456,10542376.0,32306660,18861740
p20,M648,VISl,1,8440800,226938.0,637840,310460
