age,identifier,region,image_count,raw_intensity_sum,total_image_pixels,tissue_area_pixels
p3,M730,VISl,15,786294562,22593099,11827219
p3,M730,VISli,14,380100659,11768577,5668119
p3,M730,VISp,26,6044933494,194116462,82926698
p3,M730,VISpm,20,869257224,18451020,11620280
p3,M730,VISpor,4,92812496,2665840,1520260
p3,M730,VISrl,11,196557893,9624240,3039940
p60,M762,RSPagl,42,790644306,96783000,40472680
p60,M762,RSPd,43,1534982513,159040060,71565520
p60,M762,RSPv,37,1702668767,158906840,78988840
p60,M762,VISa,11,308864264,23053560,13409660
p60,M762,VISal,13,218359755,26123860,12815340
p60,M762,VISam,13,204082578,14706660,10167820
p60,M762,VISl,16,340740228,35184720,18715760
p60,M762,VISli,12,150708996,16393840,7908940
p60,M762,VISp,29,2946589813,274497660,142466181
p60,M762,VISpl,7,157517525,19128658,6685132
p60,M762,VISpm,20,237471162,24314380,11662540
p60,M762,VISpor,13,311416674,30508980,16645280
p60,M762,VISrl,17,534137695,55570480,29664600
p60,M763,RSPagl,45,962996001,142931823,50271361
p60,M763,RSPd,45,1813075922,223329761,89149161
p60,M763,RSPv,39,1636515817,151483477,74684918
p60,M763,VISa,13,407181955,36530940,20709600
p60,M763,VISal,5,81749157,8124680,4248600
p60,M763,VISam,11,157939570,12158660,8146000
p60,M763,VISl,21,640109384,64821979,32699539
p60,M763,VISli,18,286583928,34206997,15539759
p60,M763,VISp,28,3330490799,360795704,170906661
p60,M763,VISpl,7,224915456,28825821,10474080
p60,M763,VISpm,22,223858007,22373140,12286840
p60,M763,VISpor,18,459534934,52337017,25593098
p60,M763,VISrl,11,209235420,23449540,11606560
p60,M773,RSPagl,27,539330805,53643073,22536139
p60,M773,RSPd,26,1001229671,89127573,40944139
p60,M773,RSPv,22,1075131696,79968280,47602680
p60,M773,VISa,8,259167492,21787860,11453260
p60,M773,VISal,5,99015001,9179100,4461520
p60,M773,VISam,10,157685941,15371280,7620980
p60,M773,VISl,10,181961242,20488658,9395580
p60,M773,VISli,8,76950022,9328980,3891000
p60,M773,VISp,20,1500144298,125882265,65610174
p60,M773,VISpl,5,151968061,12994278,5772360
p60,M773,VISpm,12,100903946,9962900,4803280
p60,M773,VISpor,7,204458026,19002816,9756098
p60,M773,VISrl,9,182539344,19056000,8660000
p60,M776,RSPagl,27,477802078,52375636,21118720
p60,M776,RSPd,27,875294920,87814246,37953959
p60,M776,RSPv,23,908209416,78375240,42587180
p60,M776,VISa,8,269331624,23393900,11803940
p60,M776,VISal,4,108674768,7875180,3934240
p60,M776,VISam,7,157820957,10704680,5868740
p60,M776,VISl,14,351836941,29215779,14937300
p60,M776,VISli,10,156442214,13765520,5839200
p60,M776,VISp,21,2177464309,160840361,80391698
p60,M776,VISpl,4,79596419,9714099,2731100
p60,M776,VISpm,13,144893938,10480160,6366560
p60,M776,VISpor,8,194610029,17854019,9205439
p60,M776,VISrl,8,252058725,18337420,9150420
