age,normalization,n_regions,r,r_squared,p_value,correlation_method
p3,robust,8,0.4808846015417837,0.23125000000000007,0.22770355644871362,Spearman
p12,robust,8,0.1104481560766086,0.012198795180722893,0.7945877119526422,Spearman
p20,robust,7,0.7637626158259734,0.5833333333333334,0.04565912378141155,Spearman
