age,normalization,n_regions,r,r_squared,p_value,correlation_method
p3,zscore,8,0.1000932112136314,0.010018650931056628,0.8135749601443742,Pearson
p12,zscore,8,-0.5962043362057354,0.3554596105105216,0.118775821200859,Pearson
p20,zscore,8,-0.146664046687657,0.021510342590799234,0.7289229570616321,Pearson
adult,zscore,8,0.09470764961582584,0.008969538895754036,0.823482154599281,Pearson
