age,normalization,n_regions,r,r_squared,p_value,correlation_method
p3,none,8,0.6852389889537851,0.46955247198240563,0.06071603488676875,Pearson
p12,none,8,-0.0949216091302912,0.009010111879883782,0.8230881610518979,Pearson
p20,none,7,-0.3171247248181267,0.10056809109097259,0.4882902346833018,Pearson
