age,normalization,n_regions,r,r_squared,p_value,correlation_method
p3,log,8,0.5190104718727905,0.2693718699136166,0.18749138254849762,Pearson
p12,log,8,0.8428115359757367,0.7103312851737804,0.008600921673246407,Pearson
p20,log,8,0.773910029567757,0.5989367338655666,0.024214736784592163,Pearson
adult,log,8,-0.6513883119956764,0.4243067330045766,0.08015491868016737,Pearson
