age,normalization,n_regions,r,r_squared,p_value,correlation_method
p3,combined,8,0.6012668243171808,0.3615217940244676,0.11486938969334579,Pearson
p12,combined,8,0.16057225236754208,0.025783448230385624,0.7040621299243388,Pearson
p20,combined,8,-0.11125807989948923,0.012378360342921129,0.7931061981736612,Pearson
adult,combined,8,-0.032827202748150375,0.0010776252402681715,0.9384931998294861,Pearson
